pid,volume,image_number,head,entry,topic,first_letter,xref,see,index,item,unparsed,line,full_image,order,thumbnail,full,manifest
alpha_11,Volume 1,432,,Adultery,Adultery,A,Concupiscence,,Adultery,#item-7dab944a8,,Entry: Adultery|Topic: Adultery|Xref: Concupiscence|Index: Adultery|#item-7dab944a8,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,11,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/714,224,3138,432/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629233166
alpha_12,Volume 1,432,,Affections,Affections,A,,,Affections,#item-24beb43cc,,Entry: Affections|Topic: Affections|Index: Affections|#item-24beb43cc,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,12,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/701,486,3175,594/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629287456
alpha_13,Volume 1,432,,Agony,Agony,A,,,Agony,#item-b7d840586,,Entry: Agony|Topic: Agony|Index: Agony|#item-b7d840586,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,13,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/684,953,3181,422/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629346026
alpha_14,Volume 1,432,,Agreeableness,Agreeableness,A,Welcome,,Agreeable,#item-16d46db60,,Entry: Agreeableness|Topic: Agreeableness|Xref: Welcome |Index: Agreeable|#item-16d46db60,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,14,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/661,1247,3203,403/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629815347
alpha_15,Volume 1,432,,Agreement,Agreement,A,Process in law,,Agreement,#item-1b8a91cc7,,Entry: Agreement|Topic: Agreement|Xref: Process in law|Index: Agreement|#item-1b8a91cc7,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,15,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/635,1567,3247,461/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629866946
alpha_16,Volume 1,432,,Agriculture,Agriculture,A,Husbandry,,Agriculture,#item-e3fb6b9d3,,Entry: Agriculture|Topic: Agriculture|Xref: Husbandry|Index: Agriculture|#item-e3fb6b9d3,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,16,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/621,1945,3261,429/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629930638
alpha_17,Volume 1,432,,Alamode,Alamode,A,,,Alamode,#item-d48f2cc1d,,Entry: Alamode|Topic: Alamode|Index: Alamode|#item-d48f2cc1d,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,17,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/704,2287,3141,352/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490629983525
alpha_18,Volume 1,432,,Alchymie,Alchymie,A,"Saving, Parliamony",,Alchymie,#item-651477d40,,"Entry: Alchymie |Topic: Alchymie|Xref: Saving, Parliamony|Index: Alchymie|#item-651477d40",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,18,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/723,2582,3141,341/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490630067490
alpha_19,Volume 1,432,,All,All,A,,,All,#item-f2b0670ff,,Entry: All|Topic: All|Index: All|#item-f2b0670ff,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,19,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/801,2816,3014,341/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490638607677
alpha_20,Volume 1,432,,Alliance,Alliance,A,,,Alliance,#item-cc0c50e71,,Entry: Alliance|Topic: Alliance|Index: Alliance|#item-cc0c50e71,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,20,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/785,3052,3007,505/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490638655540
alpha_21,Volume 1,432,,Almanack,Almanack,A,,,Almanack,#item-3e8408a05,,Entry: Almanack|Topic: Almanack|Index: Almanack|#item-3e8408a05,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,21,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/826,3466,2974,349/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490638732924
alpha_22,Volume 1,432,,Alms,Alms,A,"Begging, Gift",,Alms,#item-36ff0e636,,"Entry: Alms|Topic: Alms|Xref: Begging, Gift|Index: Alms|#item-36ff0e636",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,22,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/786,3658,3002,508/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490638987153
alpha_23,Volume 1,432,,Ambassage,Ambassage,A,Apostle,,Ambassage,#item-a5a2772a2,,Entry: Ambassage|Topic: Ambassage|Xref: Apostle|Index: Ambassage|#item-a5a2772a2,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,23,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/823,4079,2960,391/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490639051760
alpha_24,Volume 1,432,,Ambition,Ambition,A,Precedency,,Ambition,#item-6c6b63904,,Entry: Ambition|Topic: Ambition|Xref: Precedency|Index: Ambition|#item-6c6b63904,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg,24,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0431_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/800,4352,2988,673/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490639119455
alpha_25,Volume 1,433,,Amending,Amending,A,,,Amending,#item-8e7bab3aa,,Entry: Amending|Topic: Amending|Index: Amending|#item-8e7bab3aa,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,25,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/252,181,3150,599/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490640530881
alpha_26,Volume 1,433,,Anagram,Anagram,A,,,Anagrams,#item-a8e38fd24,,Entry: Anagram|Topic: Anagram|Index: Anagrams|#item-a8e38fd24,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,26,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/270,590,3139,404/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490640663502
alpha_27,Volume 1,433,,Anathema,Anathema,A,,,Anathema,#item-c6ca7a2a0,,Entry: Anathema|Topic: Anathema|Index: Anathema|#item-c6ca7a2a0,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,27,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/234,754,3195,322/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490640724768
alpha_28,Volume 1,433,,Anatomizing,Anatomizing,A,,,Anatomizing,#item-dc5fcb045,,Entry: Anatomizing|Topic: Anatomizing|Index: Anatomizing|#item-dc5fcb045,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,28,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/288,1020,3159,494/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490640837855
alpha_29,Volume 1,433,,Angel,Angel,A,,,Angel,#item-3a6988f22,,Entry: Angel|Topic: Angel|Index: Angel|#item-3a6988f22,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,29,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/290,1311,3154,436/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490641022430
alpha_30,Volume 1,433,,Anger,Anger,A,Wrath,,Anger,#item-095035ce9,,Entry: Anger|Topic: Anger|Xref: Wrath|Index: Anger|#item-095035ce9,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,30,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/264,1581,3148,619/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490641149802
alpha_31,Volume 1,433,,Answer,Answer,A,Queries,,Answer,#item-bed49af6b,,Entry: Answer|Topic: Answer|Xref: Queries|Index: Answer|#item-bed49af6b,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,31,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/302,2114,3130,554/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490641261033
alpha_32,Volume 1,433,,Ant,Ant,A,,,Ant,#item-2be80ecb9,,Entry: Ant|Topic: Ant|Index: Ant|#item-2be80ecb9,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,32,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/277,2588,3145,266/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642211353
alpha_33,Volume 1,433,,AntiChrist,AntiChrist,A,,,AntiChrist,#item-398b608d5,,Entry: AntiChrist|Topic: AntiChrist|Index: AntiChrist|#item-398b608d5,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,33,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/298,2732,3150,722/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642317165
alpha_34,Volume 1,433,,Antipathy,Antipathy,A,,,Antipathy,#item-6a7ee57cc,,Entry: Antipathy|Topic: Antipathy|Index: Antipathy|#item-6a7ee57cc,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,34,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/331,3289,3107,311/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642375036
alpha_35,Volume 1,433,,Antipodes,Antipodes,A,,,Antipodes,#item-0690c7a55,,Entry: Antipodes|Topic: Antipodes|Index: Antipodes|#item-0690c7a55,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,35,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/352,3468,3107,311/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642425961
alpha_36,Volume 1,433,,Ape,Ape,A,,,Ape,#item-218629065,,Entry: Ape|Topic: Ape|Index: Ape|#item-218629065,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,36,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/342,3628,3101,320/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642530691
alpha_37,Volume 1,433,,Apostacy,Apostacy,A,,,Apostacy,#item-3d5c75e87,,Entry: Apostacy|Topic: Apostacy|Index: Apostacy|#item-3d5c75e87,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,37,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/379,4067,3091,684/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642669049
alpha_38,Volume 1,433,,Apostle,Apostle,A,Ambassage,,Apostle,#item-a70633592,,Entry: Apostle|Topic: Apostle|Xref: Ambassage|Index: Apostle|#item-a70633592,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg,38,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0432_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/377,4557,3103,501/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490642719746
alpha_39,Volume 1,434,,Apothecary,Apothecary,A,,,Index:Apothecary|Apothecary,#item-31ae4a109,,Entry: Apothecary|Topic: Apothecary|Index:Apothecary|#item-31ae4a109|Index: Apothecary,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,39,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/669,194,3191,465/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811624344
alpha_40,Volume 1,434,,Apparel,Apparel,A,,,Apparel,#item-b54e3c8b0,,Entry: Apparel|Topic: Apparel|Index: Apparel|#item-b54e3c8b0,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,40,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/755,445,3105,787/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811680095
alpha_41,Volume 1,434,,Apparition,Apparition,A,,,Apparition,#item-70846fcea,,Entry: Apparition|Topic: Apparition|Index: Apparition|#item-70846fcea,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,41,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/809,997,3026,565/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811750992
alpha_42,Volume 1,434,,Apples,Apples,A,,,Apples,#item-ba31e3a8b,,Entry: Apples|Topic: Apples|Index: Apples|#item-ba31e3a8b,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,42,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/814,1359,3040,375/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811819337
alpha_43,Volume 1,434,,Approbation,Approbation,A,,,Approbation,#item-8e0b719bf,,Entry: Approbation|Topic: Approbation|Index: Approbation|#item-8e0b719bf,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,43,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/796,1524,2999,318/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811870134
alpha_44,Volume 1,434,,Arithmetick,Arithmetick,A,,,Arithmetick,#item-2bef0507e,,Entry: Arithmetick|Topic: Arithmetick|Index: Arithmetick|#item-2bef0507e,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,44,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/798,1637,3044,576/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811915522
alpha_45,Volume 1,434,,Articles of Faith,Articles of Faith,A,,,Articles of Faith,#item-4a2192656,,Entry: Articles of Faith|Topic: Articles of Faith|Index: Articles of Faith|#item-4a2192656,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,45,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/798,2022,3031,671/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490811953429
alpha_46,Volume 1,434,,Ass,An Ass,A,Blockhead,,Ass,#item-3355c94e5,,Entry: Ass|Topic: An Ass|Xref: Blockhead|Index: Ass|#item-3355c94e5,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,46,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/809,2529,3015,339/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490812044059
alpha_47,Volume 1,434,,Atheism,Atheism,A,Blasphemy,,Atheism,#item-e59b1e948,,Entry: Atheism|Topic: Atheism|Xref: Blasphemy|Index: Atheism|#item-e59b1e948,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,47,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/787,2685,3015,597/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490812103104
alpha_48,Volume 1,434,,Authority,Authority,A,Reputation,,Authority,#item-e80f7e90c,,Entry: Authority|Topic: Authority|Xref: Reputation|Index: Authority|#item-e80f7e90c,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg,48,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0433_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/780,3105,3056,667/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1490812154700
alpha_49,Volume 1,439,,Cabal,Cabal,C,,,Cabal,#item-a90615ae8,,Entry: Cabal|Topic: Cabal|Index: Cabal|#item-a90615ae8,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/full/full/0/default.jpg,49,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0438_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/347,898,3072,426/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1496678824481
alpha_50,Volume 1,439,,Calling,Calling,C,,,Calling,#item-01e9433b9,,Entry: Calling|Topic: Calling|Index: Calling|#item-01e9433b9,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/full/full/0/default.jpg,50,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0438_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/321,1235,3146,513/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1496690173296
alpha_51,Volume 1,439,,Canary-bird,Canary-bird,C,,,Canary-bird,#item-867b26baf,,Entry: Canary-bird|Topic: Canary-bird|Index: Canary-bird|#item-867b26baf,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/full/full/0/default.jpg,51,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0438_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/382,2305,3108,226/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1496763593637
alpha_52,Volume 1,439,,Capital offence,Capital offence,C,Crime,,Capital offence,#item-a11cafdec,,Entry: Capital offence|Topic: Capital offence|xRef: Crime|Index: Capital offence|#item-a11cafdec,https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/full/full/0/default.jpg,52,http://openn.library.upenn.edu/Data/0002/mscodex726/data/thumb/1607_0438_thumb.jpg,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0438/378,2569,3024,601/full/0/default.jpg",http://dev.llgc.org.uk/annotation/1496763756415
