volume,image_number,item,entry,topic,problem,reference_link
Volume 2,72,#item-978f07f28,73,The Fathers,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0074/'>73 [The Fathers]</a>
Volume 2,75,#item-429a02781,83,Protestant,"The point of reference for ""Dissenters"" is not entirely clear. We linked to 492 [Dissenters], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0084/'>83 [Protestant]</a>
Volume 2,75,#item-667f2fe9a,90,Swearing,"The points of reference for ""Perjury"" and ""Curse"" are not entirely clear. We linked to 146 [Perjury] and 29 [Curse], which are the most relevant entries in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0092/'>90 [Swearing]</a>
Volume 2,76,#item-a0c3b83f7,92,Substantial,"The point of reference for ""Considerable"" is not entirely clear. We linked to 224 [Considerable], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0094/'>92 [Substantial]</a>
Volume 2,77,#item-d1dd4af8f,108,Bluntness,"The points of reference for ""Affectation"" and ""Clown"" are not entirely clear. We linked to 96 [Affectation] and 668 [Peasant], which are the most relevant entries in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0112/'>108 [Bluntness]</a>
Volume 2,78,#item-253d4d172,115,Desire,"The point of reference for ""Appetite"" is not entirely clear. We linked to 697 [Appetite], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0119/'>115 [Desire]</a>
Volume 2,78,#item-aed77f52c,116,Meetings,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0120/'>116 [Meetings]</a>
Volume 2,78,#item-34258f713,120,Provoke,"The point of reference for ""Encouragemt"" is not entirely clear. We linked to 606 [Encouragemt], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0124/'>120 [Provoke]</a>
Volume 2,79,#item-0aaafc874,128,Self-confident,"The point of reference for ""Presumption"" is not entirely clear. We linked to 57 [Presumption], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0133/'>128 [Self-confident]</a>
Volume 2,80,#item-b0f809301,131,Pretext,Damage to the manuscript has made the topic of one of this entry's cross references illegible. ,<a href='/digital-beehive/num1/num_0136/'>131 [Pretext]</a>
Volume 2,80,#item-f62862c34,134,Wild,"The point of reference for ""Rude"" is not entirely clear. The Octavo Index indicates that 801 [Rude] might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num1/num_0139/'>134 [Wild]</a>
Volume 2,80,#item-df154f322,135,Formality,"The point of reference for ""Profession"" is not entirely clear. We linked to 196 [Profession], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0140/'>135 [Formality]</a>
Volume 2,81,#item-8cd88f3b9,148,Noise,"The point of reference for ""Cry"" is not entirely clear. We linked to 367 [Cry], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0154/'>148 [Noise]</a>
Volume 2,82,#item-93929d579,158,Sign,"The point of reference for ""Taste"" is unclear. We linked to 156 [Taste], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0165/'>158 [Sign]</a>
Volume 2,83,#item-7217d4786,163,Mountain,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0171/'>163 [Mountain]</a>
Volume 2,83,#item-ab694402b,164,Com[m]on,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0172/'>164 [Com[m]on]</a>
Volume 2,83,#item-5d5a5e54a,166,Brandy-wine,"The point of reference for ""Distilling"" is unclear. We linked to 592 [Distilling], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0174/'>166 [Brandy-wine]</a>
Volume 2,83,#item-b42b31fa4,167,Sexes,"The point of reference for ""Hermaphrodite"" is not entirely clear. The Octavo Index indicates that entry 731 might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num1/num_0175/'>167 [Sexes]</a>
Volume 2,84,#item-b2a9195aa,176,Indifferency,"The points of reference for ""Presumption"" and ""Unconcerned"" are not entirely clear. We linked to 57 [Presumption], which is the first relevant entry in the numerical section of the Alvearium.  The Octavo index indicates that 792 [Unconcerned] might be the earliest entry relevant to the topic ""Unconcerned"", but it appears on a missing page. ",<a href='/digital-beehive/num1/num_0184/'>176 [Indifferency]</a>
Volume 2,84,#item-74ba29681,177,Strain a gnat,"The point of reference for ""Spider's web"" is not entirely clear. We linked to 2417 [Spiders & their webs], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0185/'>177 [Strain a gnat]</a>
Volume 2,84,#item-13ad1ef6e,178,God's Voice,"The point of reference for ""Formality"" is not entirely clear. We linked to 229 [Formality], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0187/'>178 [God's Voice]</a>
Volume 2,84,#item-496d66b2d,180,Zeal,"The point of reference for ""Endeavour"" is not entirely clear. We linked to 550 [Endeavour], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0189/'>180 [Zeal]</a>
Volume 2,85,#item-b17997f6c,183,Temple,"The point of reference for ""Meetings"" is not entirely clear. We linked to 116 [Meetings], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0192/'>183 [Temple]</a>
Volume 2,85,#item-f8be0f082,186,Manifest,"The point of reference for ""Plainness"" is not entirely clear. We linked to 113 [Plainness], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0195/'>186 [Manifest]</a>
Volume 2,86,#item-f8a917d4c,191,One,"The point of reference for ""Unity"" is not entirely clear. The Octavo Index indicates that 837 [Unity] might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num1/num_0200/'>191 [One]</a>
Volume 2,86,#item-5c0430238,196,Profession,"The point of reference for ""Pretext"" is not entirely clear. We linked to 131 [Pretext], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0205/'>196 [Profession]</a>
Volume 2,90,#item-fc5b6a92e,221,Sacrament of Orders,"The point of reference for ""Laying on of hands"" is not entirely clear. We linked to 475 [Laying on of hands], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0233/'>221 [Sacrament of Orders]</a>
Volume 2,90,#item-89dcdd2fe,223,A Puritane,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num1/num_0238/'>223 [A Puritane]</a>
Volume 2,91,#item-4ef6e905e,229,Chain,"The point of reference for ""Fetters"" is not entirely clear.  The Octavo Index indicates that 4506 [Fetters] might be the first relevant entry in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num1/num_0246/'>229 [Chain]</a>
Volume 2,92,#item-25995586c,234,Mistake,"The point of reference for ""Misunderstanding"" is not entirely clear. We linked to 118 [Misunderstanding], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0252/'>234 [Mistake]</a>
Volume 2,92,#item-0ac05d262,236,Cookery,"The point of reference for ""Kitchin"" is not entirely clear. We linked to 889 [Kitchin], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num1/num_0254/'>236 [Cookery]</a>
Volume 2,93,#item-3d8984fd4,244,Decay,"The points of reference for ""Vanish"" and ""Perish"" are not entirely clear. The Octavo Index indicates that 748 [Vanish] and 852 [Perish] might be the earliest relevant entries in the numerical section of the Alvearium, but they both appear on missing pages.",<a href='/digital-beehive/num1/num_0264/'>244 [Decay]</a>
Volume 2,95,#item-d01fb6ca8,256,Allusions,"The point of reference for ""Etymologies"" is not entirely clear. We linked to 256 [Etymology], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0281/'>256 [Allusions]</a>
Volume 2,96,#item-3441d4547,260,Immensity,"The point of reference for ""Infinit"" is not entirely clear. We linked to 406 [Infinitness], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0287/'>260 [Immensity]</a>
Volume 2,96,#item-289f3a6b7,262,Anonymous or nameless,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0291/'>262 [Anonymous or nameless]</a>
Volume 2,97,#item-4e106408d,269,Contempt,"The point of reference for ""Disregard"" is not entirely clear. We linked to 470 [Disregard], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0302/'>269 [Contempt]</a>
Volume 2,97,#item-9cb20d3d6,271,Evasion,"The point of reference for ""Shift"" is not entirely clear. The Octavo Index indicates that 754 [Shift] might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num2/num_0305/'>271 [Evasion]</a>
Volume 2,101,#item-76190dec7,299,idle fancies,"The point of reference for ""Fool & folly"" is not entirely clear. We linked to 1159 [Folly], which is the earliest relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0339/'>299 [idle fancies]</a>
Volume 2,101,#item-da69c4f30,301,Vomit,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0341/'>301 [Vomit]</a>
Volume 2,102,#item-65dc3a7ba,304,Supper,"The points of reference for ""Bever"", ""Dinner"" and ""Breakfast"" are not entirely clear. We linked to 1218 [Dinner] and 1218 [Breakfast], which are the most relevant entries in the numerical section of the Alvearium. The Octavo Index indicates that 830 [Bever] might be the earliest entry relevant to ""Bever"", but it appears on a missing page.",<a href='/digital-beehive/num2/num_0346/'>304 [Supper]</a>
Volume 2,104,#item-cd4e1aaa1,316,Affliction,"The point of reference for ""Perplexity"" is not entirely clear. We linked to 661 [Perplexity], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0364/'>316 [Affliction]</a>
Volume 2,104,#item-b1f08d64c,319,Pharisees,"The point of reference for ""Self-righteousness"" is not entirely clear. We linked to 75 [Self-righteousness], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0368/'>319 [Pharisees]</a>
Volume 2,105,#item-eced9a063,325,Infirmity,"The points of reference for ""Peter"" and ""Wickedness"" are not entirely clear. We linked to 328 [Peter] and 324 [Wickedness], which are the most relevant entries in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0374/'>325 [Infirmity]</a>
Volume 2,106,#item-e32f03d86,332,Two,"The point of reference for ""Both"" is not entirely clear. The Octavo Index indicates that 777 [Both] might be the first entry relevant to ""Both"" in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num2/num_0382/'>332 [Two]</a>
Volume 2,106,#item-ba16cf025,333,Pray,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0386/'>333 [Pray]</a>
Volume 2,107,#item-3883c95d0,340,Talebearing,"The point of reference for ""Backbiting"" is not entirely clear. We linked to 375 [Backbiting], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0394/'>340 [Talebearing]</a>
Volume 2,108,#item-d1cd3a538,348,A rope,"The point of reference for ""Thread"" is not entirely clear. We linked to 1136 [Thread], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0407/'>348 [A rope]</a>
Volume 2,109,#item-a33958f96,354,Ship,"The point of reference for ""Sailer"" is not entirely clear. The Octavo Index indicates that 764 [Sailer] might be the first entry relevant to ""Sailer"" in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num2/num_0417/'>354 [Ship]</a>
Volume 2,109,#item-71f389656,355,Old and obsolete,"The point of reference for ""Antiquary"" is not entirely clear. We linked to 84 [Antiquary], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0419/'>355 [Old and obsolete]</a>
Volume 2,111,#item-50d9a529b,365,Superlative,"The point of reference for ""Incomparable"" is not entirely clear. We linked to 535 [Incomparable], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0435/'>365 [Superlative]</a>
Volume 2,111,#item-be4394b7e,367,Cry,"The point of reference for ""Noise"" is not entirely clear. We linked to 148 [Noise], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0437/'>367 [Cry]</a>
Volume 2,111,#item-c21b29204,367,Complaint,"The point of reference for ""Murmuring"" is not entirely clear. We linked to 1288 [Murmuring], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0439/'>367 [Complaint]</a>
Volume 2,111,#item-ad04654e6,369,Incendiary,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0442/'>369 [Incendiary]</a>
Volume 2,112,#item-d206528e7,373,Heterodox,"The point of reference for ""False Teachers"" is not entirely clear. We linked to 1264 [false Teachers], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0452/'>373 [Heterodox]</a>
Volume 2,112,#item-a456e5f33,374,Brevity,"The point of reference for ""Diminishing"" is not entirely clear. The Octavo Index indicates that 736 [Diminishing] is the first relevant entry in the numerical section of the Alvearium, but it is on a missing page.",<a href='/digital-beehive/num2/num_0453/'>374 [Brevity]</a>
Volume 2,112,#item-913712dc1,377,Popularity,"The point of reference for ""Temporising"" is not entirely clear. We linked to 643 [Temporizing], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0455/'>377 [Popularity]</a>
Volume 2,113,#item-9f76ab86c,381,Invective,"The point of reference for ""Chide"" is not entirely clear. We linked to 680 [To Chide], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0460/'>381 [Invective]</a>
Volume 2,113,#item-851ff5f6f,383,Firmament,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0463/'>383 [Firmament]</a>
Volume 2,113,#item-b69c7c8c2,383,A mist,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0464/'>383 [A mist]</a>
Volume 2,113,#item-6a45c63fa,385,Sight,"The points of reference for ""Vision"" and ""To see"" are not entirely clear. We linked to 409 [Vision] and 1097 [To see], which are the most relevant entries in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0468/'>385 [Sight]</a>
Volume 2,115,#item-ae7a76f37,400,Inquisition,"The point of reference for ""Torturing"" is not entirely clear. We linked to 419 [Torturing], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0491/'>400 [Inquisition]</a>
Volume 2,117,#item-6e701b602,409,Vision,"The point of reference for ""Sight"" is not entirely clear. We linked to 385 [Sight], which is the first relevant entry in the numerical section of the Alvearium. The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0503/'>409 [Vision]</a>
Volume 2,117,#item-d39101981,411,Past all Danger,"This entry appears under two identical entries of the Octavo Index: ""past danger"" in image 3.15, and ""past danger"" in image 3.34.",<a href='/digital-beehive/num2/num_0509/'>411 [Past all Danger]</a>
Volume 2,118,#item-ea196bccf,415,All,"The point of reference for ""whole"" is not entirely clear.  The Octavo index indicates that 772 [Whole] might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num2/num_0513/'>415 [All]</a>
Volume 2,119,#item-8880653a8,428,Colonies,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0531/'>428 [Colonies]</a>
Volume 2,121,#item-34587b8d4,442,Quotation,"The point of reference for ""Verbatim"" is not entirely clear. We linked to 536 [Verbatim], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0547/'>442 [Quotation]</a>
Volume 2,122,#item-3dcfff211,443,Friend in need,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0548/'>443 [Friend in need]</a>
Volume 2,122,#item-bf9ab6814,447,Sodomy,"The point of reference for ""Incest"" is not entirely clear. We linked to 570 [Incest], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0556/'>447 [Sodomy]</a>
Volume 2,122,#item-b22df9959,448,Mortification,"The point of reference for ""Pennance"" is not entirely clear. We linked to 450 [Pen[n]ance], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0558/'>448 [Mortification]</a>
Volume 2,122,#item-b49631fe4,449,Implicite faith,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num2/num_0559/'>449 [Implicite faith]</a>
Volume 2,128,#item-6e5002efa,487,"Proof, try all","The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.","<a href='/digital-beehive/num2/num_0609/'>487 [Proof, try all]</a>"
Volume 2,129,#item-05989aabb,492,Dissenters,"The point of reference for ""Protestants"" is not entirely clear. We linked to 83 [Protestant], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0617/'>492 [Dissenters]</a>
Volume 2,129,#item-a5274d528,493,Conformity,"The point of reference for ""The Same"" is not entirely clear. We linked to 264 [The Same], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0618/'>493 [Conformity]</a>
Volume 2,129,#item-34f6754fb,495,Yes,"The point of reference for ""Affirm"" is not entirely clear. We linked to 342 [Affirmatively], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num2/num_0621/'>495 [Yes]</a>
Volume 2,131,#item-0bc55be9f,506,To grant,"The solitary ""add""s at the end of this entry may mark cross-references that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0637/'>506 [To grant]</a>
Volume 2,132,#item-0de12d895,511,First day of the week,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete. This entry appears under two identical entries of the Octavo Index: ""first day"" in image 3.15, and ""first day"" in image 3.20.",<a href='/digital-beehive/num3/num_0643/'>511 [First day of the week]</a>
Volume 2,136,#item-8f6e79d7c,534,Comparison,"The point of reference for ""Allusion"" is not entirely clear. We linked to 256 [Allusion], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0669/'>534 [Comparison]</a>
Volume 2,136,#item-44d5706fd,535,Incomparable,"The points of reference for ""Superlative"" and ""Best"" are not entirely clear. We linked to 365 [Superlative], which is the most relevant entry in the numerical section of the Alvearium. The Octavo Index indicates that entry 732 might be the earliest entry relevant to ""Best"" in the numerical section, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0670/'>535 [Incomparable]</a>
Volume 2,136,#item-5f9091331,535,Excellent,"The points of reference for ""Well done"" and ""Best"" are not entirely clear. The Octavo Index indicates that  772 [Well done] and 732 [Best] might be the earliest occuring relevant entries, but they both appear on missing pages.",<a href='/digital-beehive/num3/num_0672/'>535 [Excellent]</a>
Volume 2,137,#item-8ad21c65c,539,Lamentation,"The point of reference for ""Complaint"" is not entirely clear. We linked to 367 [Complaint], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0679/'>539 [Lamentation]</a>
Volume 2,137,#item-7b86d8fcd,542,Leeks,"The point of reference for ""Onions"" is not entirely clear. We linked to 542 [Onions], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0685/'>542 [Leeks]</a>
Volume 2,138,#item-626c49e83,550,Endeavour,"The point of reference for ""Advocate"" is not entirely clear. We linked to 556 [Advocate], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0694/'>550 [Endeavour]</a>
Volume 2,140,#item-41360b9ba,562,Light,"The point of reference for ""Candle"" is not entirely clear. The Octavo Index indicates that 817 [Candle] might be the earliest occuring relevant entry, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0716/'>562 [Light]</a>
Volume 2,141,#item-91f582166,565,License,"The point of reference for ""Indulgence"" is not entirely clear. We linked to 667 [Indulgence], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0720/'>565 [License]</a>
Volume 2,141,#item-ec4c013aa,569,Perfection from sin,"The point of reference for ""whole"" is not entirely clear. The Octavo Index indicates that 772 [Whole] might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0726/'>569 [Perfection from sin]</a>
Volume 2,142,#item-eb11be1bc,570,Incest,"The point of reference for ""Carnal Knowledge"" is unkown.",<a href='/digital-beehive/num3/num_0727/'>570 [Incest]</a>
Volume 2,144,#item-6ecab6e93,586,To represent,"The point of reference for ""Deputy"" is not entirely clear. The Octavo Index indicates that entry 752 might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0756/'>586 [To represent]</a>
Volume 2,145,#item-ee47c0750,588,Dove,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0762/'>588 [Dove]</a>
Volume 2,145,#item-3fd359c29,590,Artificial wines,"The point of reference for ""Punch"" is not entirely clear. We linked to 336 [Punch], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0766/'>590 [Artificial wines]</a>
Volume 2,145,#item-a5b55f112,592,Distilling,"The point of reference for ""Brandy"" is not entirely clear. We linked to 166 [Brandy-wine], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0768/'>592 [Distilling]</a>
Volume 2,147,#item-e3b579ad3,599,Gestures,"The point of reference for ""Nimble"" is not entirely clear. We linked to 703 [Nimble], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0784/'>599 [Gestures]</a>
Volume 2,147,#item-218358240,602,Instigation,"The point of reference for ""Encouragemt"" is not entirely clear. We linked to 606 [Encouragemt], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0792/'>602 [Instigation]</a>
Volume 2,148,#item-28f0ada22,604,Increase,"The point of reference for ""Decay"" is not entirely clear. We linked to 244 [Decay], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0797/'>604 [Increase]</a>
Volume 2,148,#item-883a81d50,605,Invincible,"The point of reference for ""Strength"" is not entirely clear. We linked to 633 [Strength], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0799/'>605 [Invincible]</a>
Volume 2,149,#item-5e4850395,610,Task,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0812/'>610 [Task]</a>
Volume 2,150,#item-5e5e153eb,615,Thorns,"The point of reference for ""Nettles"" is not entirely clear. We linked to 615 [Nettles], which is the first relevant entry in the numerical section of the Alvearium.",<a href='/digital-beehive/num3/num_0822/'>615 [Thorns]</a>
Volume 2,150,#item-dc4023204,615,Displeasure,"The points of reference for ""Offence"" and ""Loathing"" are not entirely clear. The Octavo index indicates that 746 [Offence] and 779 [Loathing] might be the earliest occuring relevant entries, but they are both on missing pages.",<a href='/digital-beehive/num3/num_0823/'>615 [Displeasure]</a>
Volume 2,150,#item-6d291ad4e,616,Fanatick,"The point of reference for ""Fancies"" is not entirely clear. We linked to 299 [idle fancies], which is the first relevant entry in the numerical section of the Alvearium. The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0825/'>616 [Fanatick]</a>
Volume 2,152,#item-745c63151,625,Inquiry,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",<a href='/digital-beehive/num3/num_0845/'>625 [Inquiry]</a>
Volume 2,154,#item-2ffcc8d98,636,Preparation,"The point of reference for ""Delineation"" is not entirely clear. The Octavo Index indicates that entry 807 might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0863/'>636 [Preparation]</a>
Volume 2,155,#item-e817c28d3,641,The shadow,"The point of reference for ""Delineation"" is not entirely clear. The Octavo Index indicates that entry 807 might be the first relevant entry in the numerical section of the Alvearium, but it appears on a missing page.",<a href='/digital-beehive/num3/num_0873/'>641 [The shadow]</a>
