volume,image_number,first_letter,entry,topic,problem,item
1,443,C,Company,Company,"The points of reference for ""Stock"" and ""Train"" are not entirely clear, as there are no alphabetical entries for these terms.The Octavo Index indicates that 632 [Stock] and 866 [Train] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-ece88d81a
1,443,C,Com[m]union,Com[m]union,"The point of reference for ""Confirm"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 852 [Confirmation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium, but it appears on a missing page.",#item-04591d53c
1,443,C,Concupiscence,Concupiscence,"The point of reference for ""Desire"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 115 [Desire] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-1688d9123
1,444,C,Contempt,Contempt,"The point of reference for ""Disregard"" is not entirely clear, as there is no alphabetical entry for this term.The Octavo Index indicates that 470 [Disregard] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-05f1df571
1,444,C,Contentment,Contentment,"The point of reference for ""Easy in living"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1301 [Easy in living] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-5f770ccf9
1,445,C,Cookery,Cookery,"The point of reference for ""Dainty meats"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 696 [Danity meats] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-65367d05f
1,445,C,Covenant,Covenant,"The point of reference for (: old & new :) Testament is not entirely clear. The Octavo Index points to entries for ""Old Testamt"" and ""New Testamt"" in the alphabetical section.",#item-4506d1ee4
1,446,C,Crime,Crime,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-3c2215f76
1,446,C,Cross,Cross,"The point of reference for ""Crucifix"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 184 [Crucifixes] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-7dd51f4f8
1,447,C,Custody,Custody,"The point of reference for ""Jailer"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 399 [Jailer] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-467fa12a2
1,447,C,Custom,Custom,"The point of reference for ""Accustoming"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 127 [Accustoming] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-b1fc36890
1,447,D,Dammage,Dammage,Damage to the manuscript has made the topic of one of this entry's cross references illegible. ,#item-f95d47f88
1,447,D,Danger,Danger,"The point of reference for ""Pinch"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 645 [Pinch] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-84f269f52
1,447,D,Death,Death,"This entry continues this topic on the following page of the Alvearium as Death, continued.",#item-7e364ca49
1,448,D,"Death, continued","Death, continued","This entry is a continuation of Death, which appears at the end of the previous page of the Alvearium.",#item-0f8d9dba5
1,448,D,Defence,Defence,"It is unclear if ""it. War. revenge."" should be considered as cross references. We have linked to both entries, which occur in the Alphabetical section of the Alvearium.",#item-7da8743c5
1,448,D,Degree,Degree,The cross reference at 1377 cannot be determined.,#item-b4234514f
1,449,D,Deprecation,Deprecation,Damage to the manuscript has made the topic of one of this entry's cross references illegible. ,#item-8855fe0e6
1,450,D,Dirt,Dirt,"The point of reference for ""Tares"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 809 [Tares] may be the  the earliest occurrence of this topic in the Numerical section of the Alvearium, but the page on which it would appear is missing from the manuscript.",#item-6500f1f9d
1,450,D,Discipline,Discipline,Damage to the manuscript has made the topic of one of this entry's cross references illegible. ,#item-a12735979
1,450,D,Distrust,Distrust,"The point of reference for ""Desperate"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 8 [Desperation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-a95c35cba
1,451,D,Divinity,Divinity,The correct cross reference at entry 1371 cannot be determined. ,#item-a97ed4337
1,451,D,Division,Division,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-f01b54131
1,451,D,Doubt,Doubt,"The points of reference for ""Perplexity"", ""Pinch"" and ""Scepticism"" are not entirely clear, as there are no alphabetical entries for these terms. The Octavo Index indicates that 661 [Perplexity, 645 [Pinch], and 1254 [Scepticism] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-5f6348a67
1,452,E,Easter,Easter,"The point of reference for ""Passover Feast"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1011 [Passover] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-193279c50
1,452,E,Ecclesiastical discipline,Ecclesiastical discipline,"The point of reference for ""Excommunication"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 26 [Excommunication] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-c4e2bba71
1,453,E,Empire,Empire,"The point of reference for ""Kingdom"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 906 [Kingdom] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. The two solitary ""add""s at the end of this entry may mark cross-references that Pastorius mistakenly did not complete.",#item-3af6ee29e
1,453,E,Epicurism,Epicurism,"Damage partially obscures the cross reference to 1087 [Epicures], but we have chosen to link to it. ",#item-42a12e4a4
1,454,E,Equality,Equality,"The point of reference for ""Like"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 4773 [Like as] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-52585936e
1,454,E,Error,Error,"The points of reference for ""Infallibility""and ""Mistake"" are not entirely clear, as there are no alphabetical entries for these terms. The Octavo Index indicates that 32 [Infallibility] and 234 [Mistake] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-fbe8e139a
1,454,E,Eternity,Eternity,"The points of reference for ""Always""and ""Immortality"" are not entirely clear, as there are no alphabetical entires for these terms.The Octavo Index indicates that 287 [Always] and 474 [Immortal] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-d1772fc49
1,454,E,Examination,Examination,"The point of reference for ""Self-examination"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 117 [Self-examination] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-3baec17f6
1,455,E,External Conversation,External Conversation,"The point of reference for ""Conversation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 124 [Conversation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-501034b2c
1,455,E,Extern : Worship,Extern : Worship,"The point of reference for ""Formality"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 229 [Formality] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-287033ba0
1,455,F,Fable,Fable,"The point of reference for ""talker of trifles"" cannot be determined.",#item-85b695d6a
1,456,F,Farewell,Farewell,"The point of reference for ""Departure"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 712 [Departure] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-b17b8e943
1,456,F,Fatness,Fatness,"The point of reference for ""Grease"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 698 [Grease] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-f495cc04a
1,456,F,Fault,Fault,"The point of reference for ""Mistake"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 234 [Mistake] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-3e32c3b6e
2,11,F,Favour,Favour,"The point of reference for ""Disfavour"" cannot be determined.",#item-89fc7f3f5
2,11,F,Fire,Fire,"The points of reference for ""Coals""and ""Incendiary"" are not entirely clear, as there are no alphabetical entries for these terms. The Octavo Index indicates that 1134 [Coal] and 369 [Incendiary] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-c2d913b30
2,11,F,Flattery,Flattery,"The point of reference for ""Plausible Popularity"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 94 [a Plausible man] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-c9615b60f
2,13,F,Fruitfulness,Fruitfulness,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-5135f6a4b
2,14,G,Gentleness,Gentleness,"The point of reference for ""Moderation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 21 [Moderate] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-271a74ff6
2,14,G,Holy Ghost,Holy Ghost,"The point of reference for ""Inspiration"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 893 [Inspiration] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-0bb65b876
2,15,G,Governmt,Governmt,"The point of reference for ""Kingdom"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 906 [Kingdom] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. The point of reference for ""post titulos decem"" cannot be determined.",#item-066ac94a1
2,16,G,Grave,Grave,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-e1efb75b2
2,16,G,Greatness,Greatness,"The point of reference for ""Giant"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 361 [Giant] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-6c7cdca09
2,16,G,Guardian,Guardian,"The point of reference for ""Executor"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 4833 [Executors] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-681cd26c1
2,16,H,Happiness,Happiness,"The point of reference for ""Success"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 102 [Success] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-b5ca3c52d
2,17,H,Haste,Haste,"The point of reference for ""Dispatch"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 175 [Dispatch] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-b472fa4fe
2,18,H,Heaviness,Heaviness,"The point of reference for ""Weight"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 833 [Weights] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-557c0909c
2,18,H,Hen,Hen,"The point of reference for ""Cock"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 723 [Cock] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-4f384ce52
2,18,H,Heritage,Heritage,"The point of reference for ""Clergy"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 43 [Clergy] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-5cb5668f7
2,18,H,Hieroglyphicks,Hieroglyphicks,"The point of reference for ""Rebus"" is not entirely clear , as there is no alphabetical entry for this term. The Octavo Index indicates that 250 [Rebus] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-90b569061
2,18,H,Hindrance,Hindrance,"The point of reference for ""Disappoint"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 470 [Disappointmt] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-526731c25
2,19,H,Home,Home,"The point of reference for ""Pilgrimage"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 34 [Pilgrimage] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-e0ad89116
2,19,H,Hope,Hope,"The point of reference for ""Desperation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 8 [Desperation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-1aa4646fe
2,19,H,Hospitality,Hospitality,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-8c5bbd263
2,21,I,Imitation,Imitation,Damage to the manuscript has made the topic of one of this entry's cross references illegible.,#item-4bce0df37
2,22,I,Impartiality,Impartiality,"The point of reference for ""Indifferency"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 176 [Indifferency] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-37fe4196e
2,22,I,Incivility,Incivility,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-123fb86c5
2,22,I,Incontinence,Incontinence,"The point of reference for ""Luxury"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 189 [Luxury] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-b52b4d5e1
2,23,I,Instrument,Instrument,"The point of reference for ""Means"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 172 [Means] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-4818d98ae
2,24,I,Intemperance,Intemperance,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-adc38b33f
2,24,J,John the Baptist,John the Baptist,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-ab6a81988
2,25,J,Justification,Justification,"The point of reference for ""Righteousness"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 319 [Righteous] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-6329b41b8
2,26,L,Lamb,Lamb,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-2581cfd1b
2,26,L,Language,Language,"The point of reference for ""English tongue"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 473 [English tongue] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-793d2cc74
2,26,L,Law,Law,"This entry continues this topic on the following page of the Alvearium as Law, continued.",#item-6fd364d6b
2,27,L,"Law, continued","Law, continued","This entry is a continuation of Law, which appears at the end of the previous page of the Alvearium.",#item-28853d36d
2,27,L,Leader,Leader,"The point of reference for ""Inspiration"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 893 [Inspiration] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-e94eb3b2e
2,27,L,Liberty of Conscience,Liberty of Conscience,"This entry continues this topic on the following page of the Alvearium as Liberty of Consicence, continued.",#item-a7f5c69b7
2,28,L,Liberty of Conscience,"Liberty of Conscience, continued","This entry is a continuation of Liberty of Conscience, which appears at the end of the previous page of the Alvearium.",#item-cd345b6c4
2,28,L,Lie,Lie,"The point of reference for ""Hyperbole"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 842 [Hyperbole] may be the earliest occurrence of this topic in the Numerical section of the Alvearium, but it is on a missing page.",#item-17036b622
2,28,L,Likelihood,Likelihood,"The points of reference for ""Likeness""and ""Probability"" are not entirely clear, as there are no alphabetical entries for these terms. The Octavo Index indicates that 1567 [Likeness] and 246 [Probability] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-a7c6cbcff
2,29,L,To Look,To Look,"The point of reference for ""Stern"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 655 [Sternness] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-afb09bfa4
2,31,M,Mass,Mass,"The point of reference for ""Vespers"" is unclear, as there is no alphabetical entry for this term.",#item-596cbe576
2,31,M,Mediatour,Mediatour,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-e03fccbbb
2,32,M,Meditation,Meditation,"The point of reference for ""Contemplation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 802 [Contemplation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-532b7736a
2,32,M,Mercy,Mercy,"The point of reference for ""Clemency"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1120 [Clemency] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-6bfaf540f
2,32,M,Metal,Metal,"The point of reference for ""viscera terrae"" is unclear, as there is no alphabetical entry for this term. ",#item-ecdd9765c
2,32,M,Middle,Middle,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-65df4efaa
2,33,M,Misfortune,Misfortune,"The point of reference for ""Unhappiness"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 716 [Unhappiness] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-a97598884
2,33,M,Mortality,Mortality,"This entry continues this topic on the following page of the Alvearium as Mortality, continued.",#item-81ba29bce
2,34,M,"Mortality, continued","Mortality, continued","This entry is a continuation of Mortality, which appears at the end of the previous page of the Alvearium.",#item-8eac5dd03
2,34,M,Mountebank,Mountebank,"The point of reference for ""Juggling"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 422 [Juggling] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-0d4c7cfeb
2,34,M,Mourning,Mourning,"The point of reference for ""Lamentation"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 539 [Lamentation] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-ef1664611
2,34,M,Musick,Musick,"The point of reference for ""Sound"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1640 [Sound] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-843ee86fd
2,35,N,Nature,Nature,Damage to the manuscript has made the topic of one of this entry's cross references illegible.,#item-ced0ebdf8
2,36,N,Neutrality,Neutrality,"The point of reference for ""Indifferency"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 176 [Indifferency] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-323b2f38d
2,36,N,News,News,"The point of reference for ""Messenger"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 87 [Messenger] may be the earliest occurrence of this topic in the Numerical section of the Alvearium. ",#item-9f38763ad
2,36,N,Nobility,Nobility,"The point of reference for ""Ancestors"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 776 [Ancestors] may be the earliest occurrence of this topic in the Numerical section of the Alvearium, but it is on a missing page.",#item-e6dc7a754
2,36,O,Oath,Oath,"The point of reference for ""Swearing"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 90 [Swearing] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-8a41c29da
2,37,O,Obscurity,Obscurity,"The point of reference for ""Plainness"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 113 [Plainness] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-02122876c
2,37,O,Oracle,Oracle,"The point of reference for ""Divination"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 1315 [Divination] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-211319dde
2,38,O,Orphan,Orphan,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-1d89b7ef2
2,38,P,Parsimony,Parsimony,"The point of reference for ""Expenses"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 715 [Expenses] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-c0243529d
2,39,P,Partakers,Partakers,"The point of reference for ""Fellowship"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 283 [Company] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-e4003314c
2,39,P,Pawn,Pawn,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-ab2cfebee
2,39,P,Peace,Peace,"The points of reference for ""Tranquillity""and ""Truce"" are not entirely clear, as there are no alphabetical entries for these terms. The Octavo Index indicates that 603 [Tranquillity] and 137 [Truce] may be the earliest occurrences of these topics in the Numerical section of the Alvearium.",#item-f73a2700c
2,39,P,Pedantry,Pedantry,"The point of reference for ""Pretender to learning"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 105 [Pretender to learning] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-2d8fab4cb
2,39,P,Perfection,Perfection,"This entry continues this topic on the following page of the Alvearium as Perfection, continued.",#item-d2dd2128e
2,39,P,"Perfection, continued","Perfection, continued","This entry is a continuation of Perfection, which appears at the end of the previous page of the Alvearium.",#item-13966475b
2,40,P,Person,Person,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-dfab0619b
2,40,P,Perswasion,Perswasion,"The point of reference for ""Conviction"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 362 [Conviction] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-321a39c13
2,40,P,Picture,Picture,"The point of reference for ""Painting"" is not entirely clear, as there is no alphabetical entry for this term.The Octavo Index indicates that 575 [Painting] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-4aea507cf
2,40,P,Pie,Pie,"The solitary ""add"" at the end of this entry may mark a cross-reference that Pastorius mistakenly did not complete.",#item-ff2055b13
2,41,P,Politick,Politick,"The point of reference for ""Temporizing"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 643 [Temporising] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-654f9212d
2,41,P,Polygamy,Polygamy,"The point of reference for ""Bigamy"" is not entirely clear, as there is no alphabetical entry for this term. The Octavo Index indicates that 452 [Bigamy] may be the earliest occurrence of this topic in the Numerical section of the Alvearium.",#item-1942f2b6c
