volume,image_number,head,entry,topic,xref,see,index,item,selection,full_image
Volume 1,432,,[WORD_MISSING],Adultery,Baudry|Whoredom|1002 [Adultery],,adultery,#item-7dab944a8,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/714,224,3138,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Affections,Affections,Concupiscence|1187 [Affections],,affections,#item-24beb43cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/701,486,3175,594/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Agony,Agony,1065 [Agony],,agony,#item-b7d840586,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/684,953,3181,422/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Agreeableness,Agreeableness,85 [Wel- and Unwelcome]|889 [Agreeable],,agreable,#item-16d46db60,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/661,1247,3203,403/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Agreement,Agreement,Consent|Process in law|Peace-maker|1201 [Agreement],,agreemt,#item-1b8a91cc7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/577,1538,3310,497/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Agriculture,Agriculture,Husbandry|1130 [Agriculture],,agriculture,#item-e3fb6b9d3,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/621,1945,3261,429/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Alamode,Alamode,Clothes|249 [Alamode],,alamode,#item-d48f2cc1d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/704,2287,3141,352/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Alchymie,Alchymie,700 [Chymistry]|1326 [Alchymie],,alchymie,#item-651477d40,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/723,2582,3141,341/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,All,All,415 [All],,all,#item-f2b0670ff,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/801,2816,3014,341/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Alliance,Alliance,1384 [Alliance],,alliance,#item-cc0c50e71,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/785,3052,3007,505/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Almanack,Almanack,Astrology|1275 [Almanack],,almanack,#item-3e8408a05,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/826,3466,2974,349/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Alms,Alms,Begging|Gift|528 [Alms],,alms,#item-36ff0e636,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/786,3658,3002,508/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Ambassage,Ambassage,Apostle|1876 [PAGE_MISSING],,ambassage,#item-a5a2772a2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/823,4079,2960,391/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,432,,Ambition,Ambition,Precedency|1156 [Ambition],,ambition,#item-6c6b63904,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/800,4352,2988,673/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0431/full/full/0/default.jpg
Volume 1,433,,Amending,Amending,Reformation|464 [Amending],,amending,#item-8e7bab3aa,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/252,181,3150,599/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Anagram,Anagram,1078 [Anagram],,anagrams,#item-a8e38fd24,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/270,590,3139,404/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Anathema,Anathema,,,anathema,#item-c6ca7a2a0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/234,754,3195,322/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Anatomizing,Anatomizing,,,anatomizing,#item-dc5fcb045,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/288,1020,3159,494/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Angel,Angel,315 [Angels],,angel,#item-3a6988f22,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/290,1311,3154,436/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Anger,Anger,Wrath|529 [Angry],,anger,#item-095035ce9,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/264,1581,3148,619/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Answer,Answer,Queries|refutation|243 [Answer],,answer,#item-bed49af6b,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/289,2052,3156,616/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Ant,Ant,,,ant,#item-2be80ecb9,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/277,2588,3145,266/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,AntiChrist,AntiChrist,Babylon|905 [AntiChrist],,antiChrist,#item-398b608d5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/298,2732,3150,722/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Antipathy,Antipathy,670 [Antipathy],,antipathy,#item-6a7ee57cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/331,3289,3107,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Antipodes,Antipodes,1489 [Antipodes],,antipodes,#item-0690c7a55,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/352,3468,3107,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Ape,Ape,802 [PAGE_MISSING],,ape,#item-218629065,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/342,3628,3101,320/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Apocrypha,Apocrypha,959 [apocryphis],,apocrypha,#item-4c389f708,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/358,3789,3103,387/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Apostacy,Apostacy,204 [Apostacy],,apostacy,#item-3d5c75e87,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/379,4067,3091,684/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,433,,Apostle,Apostle,Ambassage|328 [Peter]|947 [Apostle],,apostle,#item-a70633592,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/377,4557,3103,501/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0432/full/full/0/default.jpg
Volume 1,434,,[WORD_MISSING],Apothecary,4794 [Apothecary],,apothecary,#item-31ae4a109,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/669,194,3191,465/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Apparel,Apparel,19 [Clothes]|194 [Apparel],,apparel,#item-b54e3c8b0,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/755,445,3105,787/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Apparition,Apparition,1313 [Spectres],,apparitions,#item-70846fcea,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/809,997,3026,565/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Apples,Apples,1940 [Apple-Tree],,apples. appletree,#item-ba31e3a8b,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/814,1359,3040,375/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Approbation,Approbation,Confirm|1407 [Approbation],,approbation,#item-8e0b719bf,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/796,1524,2999,318/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Arithmetick,Arithmetick,457 [Arithmetick],,arithmetick,#item-2bef0507e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/798,1637,3044,576/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Articles of faith,Articles of faith,581 [Articles of faith],,articles of faith,#item-4a2192656,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/798,2022,3031,671/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Ass,Ass,Blockhead,,ass,#item-3355c94e5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/809,2529,3015,339/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Atheism,Atheism,Blasphemy|240 [Atheism],,atheism,#item-e59b1e948,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/787,2685,3015,597/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Authority,Authority,Reputation|2346 [Authority],,authority,#item-e80f7e90c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/780,3105,3056,667/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Babbling,Babbling,Tautology|430 [Babbling],,Babbling,#item-7be7b5bcb,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/843,3613,2917,555/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Babylon,Babylon,Rome|Antichrist|952 [Babel],,babylon,#item-43ad5283e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/826,4020,2941,506/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Bacchanals,Bacchanals,222 [Shrovetide],,bacchanals,#item-3d0b04143,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/840,4340,2906,468/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,434,,Baker,Baker,4625 [PAGE_MISSING],,baker,#item-5d287ca02,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/836,4663,2901,357/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0433/full/full/0/default.jpg
Volume 1,435,,Baldness,Baldness,4831 [WORD_ILLEGIBLE],,baldness,#item-5e7055462,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/286,215,3106,336/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Banishment,Banishment,Pilgrimage|1182 [Banishment],,banishmt,#item-ccc0b9c78,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/324,427,3068,479/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Banner,Banner,,,banner,#item-57a7dbde7,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/312,772,3091,382/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Bancrupt,Bancrupt,237 [Reckoning]|4660 [PAGE_MISSING],,bankrupt,#item-d97f25c3b,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/315,1036,3083,451/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Banquetting Stuff,Banquetting Stuff,76 [Dainty meats],,banquetting stuff,#item-680b110e2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/322,1382,3091,375/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Baptism,Baptism,Regeneration|Washing|413 [Infant baptism]|273 [Baptism],,baptism,#item-b6dca95d2,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/355,1655,3066,697/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Barber Surgeon,Barber Surgeon,917 [Surgery],,barber Surgeon,#item-5b3002dd1,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/350,2291,3066,364/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Barrenness,Barrenness,Unfruitful|4555 [PAGE_MISSING],,barrenness,#item-8b3533e21,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/368,2619,3018,429/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Baseness,Baseness,Little|humility|589 [Base],,baseness,#item-588519acf,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/380,3001,3026,389/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Bastard,Bastard,972 [Bastard],,bastard,#item-e316a8228,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/373,3344,3053,412/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Battery,Battery,708 [Beating],,battery,#item-68ff2988e,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/405,3721,3016,352/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Baudry,Baudry,Whoredom|765 [PAGE_MISSING],,baudry,#item-c20186c9f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/395,4039,3001,327/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Bean,Bean,,,bean,#item-fd8d3d952,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/407,4309,3006,260/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Beard,Beard,1462 [Beard],,beard,#item-f6031a9ca,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/395,4553,3046,283/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,435,,Beast,Beast,Cattel|1185 [Beasts],,beast,#item-ed5341113,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/425,4784,3014,252/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0434/full/full/0/default.jpg
Volume 1,436,,[WORD_MISSING],Beauty,[WORD_MISSING]|616 [Beauty],,beauty,#item-74417d341,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/857,207,2956,647/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Bed,Bed,Sleep|523 [Bed],,bed,#item-384c11b92,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/709,713,3126,430/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Bee,Bee,1208 [Bees],,bee,#item-1f801aabb,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/875,1000,2901,410/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Beer,Beer,Brewing|2137 [Beer],,beer,#item-d449462c4,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/872,1276,2930,505/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Begging,Begging,Alms|1335 [Begging],,begging,#item-19e50b10a,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/875,1618,2901,509/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Beginning,Beginning,first|550 [Beginn],,beginning,#item-bb591305c,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/872,1989,2901,556/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Behemoth,Behemoth,,,behemoth,#item-9cc13a328,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/864,2443,2894,181/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Bell,Bell,888 [Bell],,bells,#item-c367931ce,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/864,2531,2909,269/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Believe,Believe,"705 [doubtfulness, believe]",,to believe,#item-7737412f6,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/857,2680,2909,207/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Belly,Belly,,,belly,#item-b9509f12d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/857,2764,2905,370/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Benefit,Benefit,advantage|utility|1104 [Benefits],,benefit,#item-f7835b924,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/839,3098,2898,578/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Bible,Bible,Scripture|Reading|421 [Bible],,bible,#item-30ebdeb9f,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/828,3568,2916,818/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Big with child,Big with child,1377 [Great with young],,big with child,#item-280551e59,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/799,4281,2941,381/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,436,,Bishop,Bishop,494 [Bishop],,bishop,#item-227794847,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/807,4522,2906,543/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0435/full/full/0/default.jpg
Volume 1,437,,Blackness,Blackness,Neger|1563 [Blackness]|1951 [White],,blackness,#item-c61e17bec,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/262,254,3187,516/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Blasphemy,Blasphemy,Atheism|1455 [Swearing],,blasphemy,#item-05f2b33d5,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/299,612,3093,576/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Blessing,Blessing,Gods blessings,,blessing,#item-2c999a7ce,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/299,1144,3110,486/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Blockhead,Blockhead,Ass|Stockfish|Incivility|668 [Peasant]|Stupidity|750 [PAGE_MISSING],,blockhead,#item-f7569668d,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/344,1629,3064,333/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Blood,Blood,956 [Blood]|834 [PAGE_MISSING],,blood,#item-f9f42e163,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/325,1858,3128,550/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Blood-letting,Blood-letting,2158 [Blood-letting],,bloodletting,#item-dd06ebe15,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/384,2325,3029,314/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Boasting,Boasting,Pride|728 [PAGE_MISSING],,boasting,#item-71c386bdf,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/377,2611,3027,412/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Body,Body,Member|583 [Body],,body,#item-4e1fb40cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/360,2980,3058,563/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Boldness,Boldness,Temerity,,boldness,#item-5d2c5ab39,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/379,3506,3016,517/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
Volume 1,437,,Book,Book,Library|Printing|1044 [Books],,books,#item-2d96b7e19,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/399,4084,3005,591/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0436/full/full/0/default.jpg
