pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_024,1,34,,,Indices,Alvearium,Old Alvearium Index,Index to Epitaphs,,"An Alphabetical Register of the Names of those who (forsooth) are Im[m]ortalized by Epitaphs, rehearsed in this Manuscript, from page 11. &c.","[Epitaphs no usual among primitive Christians, but among Gentiles & Papists, see p. 11 num. 10. 11. 12. & 13.)",[Old Alphabetical Hive Index:] will: of God - zuz,[Epitaphs:] Alexanoni M. - Laur. Valla.,will: of God,zuz,24,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0033/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0033/full/full/0/default.jpg,Page also contains alphabetical list of people whose epitaphs are found in the MS
toc1_025,1,35,,,Indices,Onomastical Considerations,Onomastic Index,,,"A peculiar Index or Table to Mine Onomastical Considerations, which begin page 63. & 111.",,Abaddon - the only Blessee,,Abaddon,the only Blessee,25,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0034/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0034/full/full/0/default.jpg,"(The referenced numerical onomastic section will come up later in vol. 1, so don't be afraid)"
toc1_026,1,36,,,Indices,Onomastical Considerations,Onomastic Index,,,,,blind girl - Crocuta,,blind girl,Crocuta,26,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0035/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0035/full/full/0/default.jpg,(Alphabetize according to relevant letter?)
toc1_027,1,37,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Croesus - face of God,,Croesus,face of God,27,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0036/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0036/full/full/0/default.jpg,
toc1_028,1,38,,,Indices,Onomastical Considerations,Onomastic Index,,,,,facilities sake - harmonious names,,facilities sake,harmonious names,28,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0037/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0037/full/full/0/default.jpg,"Last two entries after ""harmonious names"" somewhat illegible due to trimming. Query: what should we do when we can extrapolate the content of an illegible word or line? Extrapolate, or note only what is legible?"
toc1_029,1,39,,,Indices,Onomastical Considerations,Onomastic Index,,,,,John Harvy - killing forbidden,,John Harvy,killing forbidden,29,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0038/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0038/full/full/0/default.jpg,
toc1_030,1,40,,,Indices,Onomastical Considerations,Onomastic Index,,,,,poet Kimblo - Mich. de Montagne,,poet Kimblo,Mich. de Montagne,30,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0039/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0039/full/full/0/default.jpg,
toc1_031,1,41,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Montanists - Parnassus,,Montanists,Parnassus,31,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0040/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0040/full/full/0/default.jpg,
toc1_032,1,42,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Parochi - rack,,Parochi,rack,32,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0041/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0041/full/full/0/default.jpg,
toc1_033,1,43,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Racilia - Shirion,,Racilia,Shirion,33,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0042/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0042/full/full/0/default.jpg,
toc1_034,1,44,,,Indices,Onomastical Considerations,Onomastic Index,,,,,Shittim Wood - Transsylvania,,Shittim Wood,Transsylvania,34,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0043/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0043/full/full/0/default.jpg,
toc1_035,1,45,,,Indices,Onomastical Considerations,Onomastic Index,,,,"NB. Where this Table the room being all crowded up grew to narrow for more words belonging to that place, you'll find a [: :] with a Number in it, and this refers you to the page next ensuing to this.",Geo. Trapezuntius - John Duke of Zweybrucken,,Geo. Trapezuntius,John Duke of Zweybrucken,35,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0044/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0044/full/full/0/default.jpg,
toc1_036,1,46,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,"Infarcienda, Or some More Names & Words, to be stuff'd & inserted into the foregoing Table",Finis Indicis Onomastici & 1707.,1 - 101,,1,101,36,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0045/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0045/full/full/0/default.jpg,
toc1_037,1,47,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,102 - 157,,102,157,37,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0046/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0046/full/full/0/default.jpg,
toc1_038,1,48,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,158 - 240,,158,240,38,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0047/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0047/full/full/0/default.jpg,
toc1_039,1,49,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,241 - 315,,241,315,39,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0048/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0048/full/full/0/default.jpg,
toc1_040,1,50,,,Indices,Onomastical Considerations,Onomastic Index Additions,,,,,316 - 387,,316,387,40,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0049/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0049/full/full/0/default.jpg,
toc1_041,1,51,,,Blank Page,,,,,,,,,,,41,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0050/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0050/full/full/0/default.jpg,
toc1_042,1,52,,,Blank Page,,,,,,,,,,,42,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0051/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0051/full/full/0/default.jpg,
toc1_043,1,53,,,Blank Page,,,,,,,,,,,43,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0052/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0052/full/full/0/default.jpg,
toc1_044,1,54,,,Blank Page,,,,,,,,,,,44,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0053/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0053/full/full/0/default.jpg,
toc1_045,1,55,,,Blank Page,,,,,,,,,,,45,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0054/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0054/full/full/0/default.jpg,
toc1_046,1,56,,,Onomastic Symbols,,Symbola Onomastica,,,F.D.P. Symbola Onomastica vide infrà pag 55. 66. 67 ./. qua hic Continuantur.,,250 - 320,,250,320,46,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0055/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0055/full/full/0/default.jpg,Continues from image 141
toc1_047,1,57,,,Onomastic Symbols,,Symbola Onomastica,,,,,321 - 389,,321,389,47,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0056/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0056/full/full/0/default.jpg,
toc1_048,1,58,,,Onomastic Symbols,,Symbola Onomastica,,,Adde infrà pag. 136.,,390 - 465,,390,465,48,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0057/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0057/full/full/0/default.jpg,Continues to image 225
toc1_049,1,59,,,Introductory Material,,Front Matter,Second Version,,Francis Daniel Pastorius: his Book. 1696.,,Title Page & Epigraphs to the Manuscript,,,,49,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0058/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0058/full/full/0/default.jpg,Title page and epigraphs
toc1_050,1,60,,,Introductory Material,,Front Matter,Second Version,,"The Contents of the portable Volume of Importation, which having several times been fenced in by Stitching more Sheets thereunto, got quite an other Form or Face than Its first was, even in the eyes of the Compiler himself.",,Table of Contents & Introductory Notes,,,,50,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0059/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0059/full/full/0/default.jpg,Table of contents and introductory notes
toc1_051,1,61,1,,Introductory Material,,Front Matter,Second Version,,"Francis Daniel Pastorius: his Alphabetical Hive of more than two thousand Honey-Combs, begun in the year 1696.",,Title Page & Epigraphs to the Manuscript,,,,51,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0060/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0060/full/full/0/default.jpg,Title page and epigraphs
toc1_052,1,62,2,,Inscriptions,,Inscriptions (Main Section),Inscriptions Table of Contents,,"Tantum Quantum; Seu Donum Bonum Inscriptionum, Inscriptions of Sundry Sorts, And yet, the most in Latin Words","The Heads of the following Inscriptions: I. Sun-dials. 2. Clock-dials & Bells. 3. Steeple-houses, Altars, Organs, Images, &c. 4. Cloisters & Cells. 5. Hospitals, Infirmaries &c. 6. Schools. 7. Libraries. 8. Senate houses & Guild halls. 9. Bridewells. 10. Prisons. 11. Armouries or Magazins for Weapons. 12. Utensils of war, Standards & the like. 13. Mints and Treasure-houses. 14. Burses or Royal Exchanges for Merchants to meet in. 15. Palaces. 16. Tennis-Courts, Bowling-greens, &c. 17. Marketplaces, Shambles. &c. 18. Apothecary Shops. 19. Inns and Ordinaries. 20. Private Dwelling-houses. 21. Doors, Chimneys, Tables. &c. 22. Gardens. 23. Fountains. 24. Ships. 25. Highways. 26. Bridges. 27. Monuments. 28. Statues. 29. Cities & Fortresses. 30. Finster-Schrifften 31. Nammbüchl. Andenck Sprüch. 32. a Miscellaneous Appendix. 33. Privy houses. Post Num. 20. Seals-- (Post Num. 6 Arms or Coat of arms.)",Sun-dials - Clocks & Bells,,Sun-Dials,Clocks & Bells,52,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0061/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0061/full/full/0/default.jpg,Page also contains Latin verse; index of inscriptions at bottom of page
toc1_053,1,63,3,,Inscriptions,,Inscriptions (Main Section),,,"Tantum Quantum, or A few Inscriptions, gather'd out of my own Itinerary",,"I. Over, under & about Sun-dials I observed the following - II. Over and under Clock-Dials, hour glasses, Bells",,"I. Over, under & about Sun-dials I observed the following",II. Over and under Clock-Dials,53,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0062/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0062/full/full/0/default.jpg,
toc1_054,1,64,4,,Inscriptions,,Inscriptions (Main Section),,,,,"III. Steeple-houses, Altars, Organs, Images, &c. - V. Hospitals, Infirmeries, &c.",,"III. Steeple-houses, Altars, Organs, Images, &c.","V. Hospitals, Infirmeries, &c.",54,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0063/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0063/full/full/0/default.jpg,
toc1_055,1,65,5,,Inscriptions,,Inscriptions (Main Section),,,,,VI. Schools - X. Prisons,,VI. Schools,X. Prisons,55,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0064/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0064/full/full/0/default.jpg,
toc1_056,1,66,6,,Inscriptions,,Inscriptions (Main Section),,,,,XI. Armouries or Magazins for weapons - XIV. Burses or Royal Exchanges,,XI. Armouries or Magazins for weapons,XIV. Burses or Royal Exchanges,56,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0065/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0065/full/full/0/default.jpg,
toc1_057,1,67,7,,Inscriptions,,Inscriptions (Main Section),,,,,XV. Palaces - [] Seals,,XV. Palaces,ⵙ Seals,57,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0066/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0066/full/full/0/default.jpg,"Last entry is appended after ""XX. Private Dwelling-houses"""
toc1_058,1,68,8,,Inscriptions,,Inscriptions (Main Section),,,,,"XXI. Doors, Chimneys, Tables. &c. - XXV. high-ways",,"XXI. Doors, Chimneys, Tables. &c.",XXV. high-ways,58,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0067/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0067/full/full/0/default.jpg,
toc1_059,1,69,9,,Inscriptions,,Inscriptions (Main Section),,,,,"XXVI. Bridges - XXIX. Cities, Fortresses, &c.",,XXVI. Bridges,"XXIX. Cities, Fortresses, &c.",59,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0068/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0068/full/full/0/default.jpg,
toc1_060,1,70,10,,Inscriptions,,Inscriptions (Main Section),,,,,"XXX. Inscriptions on glass-Windows, Tobacco-Boxes, knives, &c. - XXXIV. Einige Gottslästerliche Inscriptiones",,"XXX. Inscriptions on glass-Windows, Tobacco-Boxes, knives, &c.",XXXIV. Einige Gottslästerliche Inscriptiones,60,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0069/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0069/full/full/0/default.jpg,
toc1_061,1,71,11,,Epitaphs,,Epitaphs I,,,"Some Epitaphs ex Libello Epitaphiorum, Olim à me collecto.",,1 - 30,,1,30,61,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0070/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0070/full/full/0/default.jpg,Continues on image 79
toc1_062,1,72,12,,Epitaphs,,Epitaphs II,,,,,1 - 7,,1,7,62,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0071/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0071/full/full/0/default.jpg,
toc1_063,1,73,13,,Epitaphs,,Epitaphs II,,,,,8 - 17,,8,17,63,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0072/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0072/full/full/0/default.jpg,
toc1_064,1,74,14,,Epitaphs,,Epitaphs II,,,,,18 - 32,,18,32,64,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0073/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0073/full/full/0/default.jpg,
toc1_065,1,75,15,,Epitaphs,,Epitaphs II,,,,,33 - 49,,33,49,65,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0074/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0074/full/full/0/default.jpg,
toc1_066,1,76,16,,Blank Page,,,,,,,,,,,66,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0075/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0075/full/full/0/default.jpg,
toc1_067,1,77,17,,Blank Page,,,,,,,,,,,67,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0076/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0076/full/full/0/default.jpg,
toc1_068,1,78,18,,Inscriptions,,Inscriptions (Addenda),,,,,Inscriptions to Steeple-houses. &c. - Venetiis ad Tribunal,,Inscriptions to Steeple-houses. &c.,Venetiis ad Tribunal,68,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0077/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0077/full/full/0/default.jpg,
toc1_069,1,79,19,,Epitaphs,,Epitaphs I,,,,Sequentia refer ad Pag. ante ad. 11,31 - 45,,31,45,69,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0078/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0078/full/full/0/default.jpg,Continued from image 71
toc1_070,1,80,20,,Verse,,Miscellaneous Verse,,,,,Out of Sir John Denham's Directions to a Painter & Miscellaneous Verse,,Out of Sir John Denham's Directions to a Painter,Consult the Firmament [...],70,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0079/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0079/full/full/0/default.jpg,
toc1_071,1,81,21,,Verse,,Miscellaneous Verse,,,,,Advice about Marriage. M. Maint. p. 86. however somewhat alter'd. & Miscellaneous Verse,,Advice about Marriage,When Fortune frowns [...],71,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0080/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0080/full/full/0/default.jpg,
toc1_072,1,82,22,,Verse,,Miscellaneous Verse,,,A Copy of Verses writ by Thomas Ellwood,,,,A Copy of Verses writ by Thomas Ellwood,"Teach me, O Lord",72,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0081/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0081/full/full/0/default.jpg,
toc1_073,1,83,23,,Blank Page,,,,,,,,,,,73,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0082/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0082/full/full/0/default.jpg,
toc1_074,1,84,24,,Miscellania,,Miscellaneous Excerpts,,,,,An Evangelical account of the Life of Jesus Christ written by Nicodemus & A Letter of Publius Lentulus President in Judea to Tiberius Caesar concerning the Lord Jesus Christ's person and Stature,,An Evangelical account of the Life of Jesus Christ written by Nicodemus,A Letter of Publius Lentulus President in Judea to Tiberius Caesar concerning the Lord Jesus Christ's person and Stature,74,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0083/full/100,/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0083/full/full/0/default.jpg,
