pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_051,1,61,1,,Introductory Material,,Front Matter,Second Version,,"Francis Daniel Pastorius: his Alphabetical Hive of more than two thousand Honey-Combs, begun in the year 1696.",,Title Page & Epigraphs to the Manuscript,,,,51,,,Title page and epigraphs
toc1_052,1,62,2,,Inscriptions,,Inscriptions (Main Section),Inscriptions Table of Contents,,"Tantum Quantum; Seu Donum Bonum Inscriptionum, Inscriptions of Sundry Sorts, And yet, the most in Latin Words","The Heads of the following Inscriptions: I. Sun-dials. 2. Clock-dials & Bells. 3. Steeple-houses, Altars, Organs, Images, &c. 4. Cloisters & Cells. 5. Hospitals, Infirmaries &c. 6. Schools. 7. Libraries. 8. Senate houses & Guild halls. 9. Bridewells. 10. Prisons. 11. Armouries or Magazins for Weapons. 12. Utensils of war, Standards & the like. 13. Mints and Treasure-houses. 14. Burses or Royal Exchanges for Merchants to meet in. 15. Palaces. 16. Tennis-Courts, Bowling-greens, &c. 17. Marketplaces, Shambles. &c. 18. Apothecary Shops. 19. Inns and Ordinaries. 20. Private Dwelling-houses. 21. Doors, Chimneys, Tables. &c. 22. Gardens. 23. Fountains. 24. Ships. 25. Highways. 26. Bridges. 27. Monuments. 28. Statues. 29. Cities & Fortresses. 30. Finster-Schrifften 31. Nammbüchl. Andenck Sprüch. 32. a Miscellaneous Appendix. 33. Privy houses. Post Num. 20. Seals-- (Post Num. 6 Arms or Coat of arms.)",Sun-dials - Clocks & Bells,,Sun-Dials,Clocks & Bells,52,,,Page also contains Latin verse; index of inscriptions at bottom of page
toc1_053,1,63,3,,Inscriptions,,Inscriptions (Main Section),,,"Tantum Quantum, or A few Inscriptions, gather'd out of my own Itinerary",,"I. Over, under & about Sun-dials I observed the following - II. Over and under Clock-Dials, hour glasses, Bells",,"I. Over, under & about Sun-dials I observed the following",II. Over and under Clock-Dials,53,,,
toc1_054,1,64,4,,Inscriptions,,Inscriptions (Main Section),,,,,"III. Steeple-houses, Altars, Organs, Images, &c. - V. Hospitals, Infirmeries, &c.",,"III. Steeple-houses, Altars, Organs, Images, &c.","V. Hospitals, Infirmeries, &c.",54,,,
toc1_055,1,65,5,,Inscriptions,,Inscriptions (Main Section),,,,,VI. Schools - X. Prisons,,VI. Schools,X. Prisons,55,,,
toc1_056,1,66,6,,Inscriptions,,Inscriptions (Main Section),,,,,XI. Armouries or Magazins for weapons - XIV. Burses or Royal Exchanges,,XI. Armouries or Magazins for weapons,XIV. Burses or Royal Exchanges,56,,,
toc1_057,1,67,7,,Inscriptions,,Inscriptions (Main Section),,,,,XV. Palaces - [] Seals,,XV. Palaces,ⵙ Seals,57,,,"Last entry is appended after ""XX. Private Dwelling-houses"""
toc1_058,1,68,8,,Inscriptions,,Inscriptions (Main Section),,,,,"XXI. Doors, Chimneys, Tables. &c. - XXV. high-ways",,"XXI. Doors, Chimneys, Tables. &c.",XXV. high-ways,58,,,
toc1_059,1,69,9,,Inscriptions,,Inscriptions (Main Section),,,,,"XXVI. Bridges - XXIX. Cities, Fortresses, &c.",,XXVI. Bridges,"XXIX. Cities, Fortresses, &c.",59,,,
toc1_060,1,70,10,,Inscriptions,,Inscriptions (Main Section),,,,,"XXX. Inscriptions on glass-Windows, Tobacco-Boxes, knives, &c. - XXXIV. Einige Gottslästerliche Inscriptiones",,"XXX. Inscriptions on glass-Windows, Tobacco-Boxes, knives, &c.",XXXIV. Einige Gottslästerliche Inscriptiones,60,,,
toc1_061,1,71,11,,Epitaphs,,Epitaphs I,,,"Some Epitaphs ex Libello Epitaphiorum, Olim à me collecto.",,1 - 30,,1,30,61,,,Continues on image 79
toc1_062,1,72,12,,Epitaphs,,Epitaphs II,,,,,1 - 7,,1,7,62,,,
toc1_063,1,73,13,,Epitaphs,,Epitaphs II,,,,,8 - 17,,8,17,63,,,
toc1_064,1,74,14,,Epitaphs,,Epitaphs II,,,,,18 - 32,,18,32,64,,,
toc1_065,1,75,15,,Epitaphs,,Epitaphs II,,,,,33 - 49,,33,49,65,,,
toc1_066,1,76,16,,Blank Page,,,,,,,,,,,66,,,
toc1_067,1,77,17,,Blank Page,,,,,,,,,,,67,,,
toc1_068,1,78,18,,Inscriptions,,Inscriptions (Addenda),,,,,Inscriptions to Steeple-houses. &c. - Venetiis ad Tribunal,,Inscriptions to Steeple-houses. &c.,Venetiis ad Tribunal,68,,,
toc1_069,1,79,19,,Epitaphs,,Epitaphs I,,,,Sequentia refer ad Pag. ante ad. 11,31 - 45,,31,45,69,,,Continued from image 71
toc1_070,1,80,20,,Verse,,Miscellaneous Verse,,,,,Out of Sir John Denham's Directions to a Painter & Miscellaneous Verse,,Out of Sir John Denham's Directions to a Painter,Consult the Firmament [...],70,,,
toc1_071,1,81,21,,Verse,,Miscellaneous Verse,,,,,Advice about Marriage. M. Maint. p. 86. however somewhat alter'd. & Miscellaneous Verse,,Advice about Marriage,When Fortune frowns [...],71,,,
toc1_072,1,82,22,,Verse,,Miscellaneous Verse,,,A Copy of Verses writ by Thomas Ellwood,,,,A Copy of Verses writ by Thomas Ellwood,"Teach me, O Lord",72,,,
toc1_073,1,83,23,,Blank Page,,,,,,,,,,,73,,,
toc1_074,1,84,24,,Miscellania,,Miscellaneous Excerpts,,,,,An Evangelical account of the Life of Jesus Christ written by Nicodemus & A Letter of Publius Lentulus President in Judea to Tiberius Caesar concerning the Lord Jesus Christ's person and Stature,,An Evangelical account of the Life of Jesus Christ written by Nicodemus,A Letter of Publius Lentulus President in Judea to Tiberius Caesar concerning the Lord Jesus Christ's person and Stature,74,,,
toc1_075,1,85,25,,Emblematical Recreations,,Emblematical Recreations,,,Emblematical Recreations,"Emblems are so called [GREEK] from inserting or putting in. For whatsoever is laid in embroidered, checkered or engraved of many pieces of divers. Colours may properly be called an Emblem, But metaphorically (: or in a figurative manner of Speech :) Emblems signify Mottos or Devices, which point at a mystical or hidden Sense of certain Pictures ~ And so there must be first a Body, viz: a fair representation; secondly the soul, to give life to the body, viz: a short but witty Motto or Word, answerable to the Picture, not too obscure, nor too plain. Best of all all hemistich of some different Language. Emblems require as well an artificious hand of either a Painter or Engraver, as likewise a quibbling Brain of a Word-measuring Poet - Retoribus atque Poëtes, Quid libet audendi semper fuit [ae]qua potestas -- /",,,,,75,,,"TRANSCRIPTION TO BE CONTINUED: And whereas Examples everywhere prevail above Precepts, I under the following heads viz: 1 the Whole World. 2. the Heaven. 3. Sun, Moon and Stars. 4. the Air & Etherial regions. 5. the Fire. 6. the Water, Rivers, Fountains. &c. 7. the Earth. 8. Mortals & Minerals. 9. Stones, Jewels, Pearls. &c. 10. Trees & Shrubs with 11. the Several Fruits thereof. 12. Herbs & Flowers. 13. Fourfooted Creatures. 14. Birds, Fowls & all what flieth. 15. Fishes & Amphibious. 16. Serpents, Creeping Vermins & Insects. 17. Buildings, Gardens & what not. 18. Houshold Stuff. 19. Tools or Instruments. 20. Clocks, Dials,"
toc1_076,1,86,26,,Emblematical Recreations,,Emblematical Recreations,,,,,1. The Universe or Whole World - 2. The Heavens,,1. The Universe or Whole World,2. The Heavens,76,,,
toc1_077,1,87,27,,Emblematical Recreations,,Emblematical Recreations,,,,,"3. Sun, Moon & Stars",,"3. Sun, Moon & Stars",,77,,,
toc1_078,1,88,28,,Emblematical Recreations,,Emblematical Recreations,,,,,"3. Sun, Moon & Stars (cont.)",,"3. Sun, Moon & Stars (cont.)",,78,,,
toc1_079,1,89,29,,Emblematical Recreations,,Emblematical Recreations,,,,,"3. Sun, Moon & Stars (cont.) - 4. The Air & Etherial Regions",,"3. Sun, Moon & Stars (cont.)",4. The Air & Etherial Regions,79,,,
toc1_080,1,90,30,,Emblematical Recreations,,Emblematical Recreations,,,,,"5. The Fire - 6. The Waters, Rivers, Fountains",,5. The Fire,"6. The Waters, Rivers, Fountains",80,,,
toc1_081,1,91,31,,Emblematical Recreations,,Emblematical Recreations,,,,,7. The Earth - 8. Metals & Minerals,,7. The Earth,8. Metals & Minerals,81,,,
toc1_082,1,92,32,,Emblematical Recreations,,Emblematical Recreations,,,,,"9. Stones, Jewels, Pearls &c. - 10. Trees & Shrubs",,"9. Stones, Jewels, Pearls &c.",10. Trees & Shrubs,82,,,
toc1_083,1,93,33,,Emblematical Recreations,,Emblematical Recreations,,,,,11. Several Fruits - 12. Herbs & Flowers,,11. Several Fruits,12. Herbs & Flowers,83,,,
toc1_084,1,94,34,,Emblematical Recreations,,Emblematical Recreations,,,,,13. Fourfooted Creatures,,13. Fourfooted Creatures,,84,,,
toc1_085,1,95,35,,Emblematical Recreations,,Emblematical Recreations,,,,,"14. Birds, fowls & flying Ones",,"14. Birds, fowls & flying Ones",,85,,,
toc1_086,1,96,36,,Emblematical Recreations,,Emblematical Recreations,,,,,"14. Birds, fowls & flying Ones (cont.) - 15. Fishes & Amphibious",,"14. Birds, fowls & flying Ones (cont.)",15. Fishes & Amphibious,86,,,
toc1_087,1,97,37,,Emblematical Recreations,,Emblematical Recreations,,,,,"16. Serpens, Vermins & Insects - 17. Buildings, Gardens",,"16. Serpens, Vermins & Insects","17. Buildings, Gardens",87,,,
toc1_088,1,98,38,,Emblematical Recreations,,Emblematical Recreations,,,,,18. Houshold-Stuff. Clothes. &c. - 19. Tools or Instruments,,18. Houshold-Stuff. Clothes. &c.,19. Tools or Instruments,88,,,
toc1_089,1,99,39,,Emblematical Recreations,,Emblematical Recreations,,,,,"19. Tools or Instruments (cont.) - 20. Clocks, Dials, Hourglasses",,19. Tools or Instruments (cont.),"20. Clocks, Dials, Hourglasses",89,,,
toc1_090,1,100,40,,Emblematical Recreations,,Emblematical Recreations,,,,,21. Weapons & the like,,21. Weapons & the like,,90,,,
toc1_091,1,101,41,,Emblematical Recreations,,Emblematical Recreations,,,,,22. Books. &c.,,22. Books. &c.,,91,,,
toc1_092,1,102,42,,Emblematical Recreations,,Emblematical Recreations,,,,,23. Man & Woman,,23. Man & Woman,,92,,,
toc1_093,1,103,43,,Emblematical Recreations,,Emblematical Recreations,,,,,24. The many Members of the Body,,24. The many Members of the Body,,93,,,
toc1_094,1,104,44,,Emblematical Recreations,,Emblematical Recreations,,,,,25. Death and Funerals,,25. Death and Funerals,,94,,,
toc1_095,1,105,45,,Emblematical Recreations,,Emblematical Recreations,,,,,26. Biblical Histories,,26. Biblical Histories,,95,,,
toc1_096,1,106,46,,Emblematical Recreations,,Emblematical Recreations,,,,,26. Bibliocal Histories (cont.),,26. Biblical Histories (cont.),,96,,,
toc1_097,1,107,47,,Emblematical Recreations,,Emblematical Recreations,,,,,27. Prophane Histories & Fables,,27. Prophane Histories & Fables,,97,,,
toc1_098,1,108,48,,Emblematical Recreations,,Emblematical Recreations,,,,,27. Prophane Histories & Fables (cont.),,27. Prophane Histories & Fables (cont.),,98,,,
toc1_099,1,109,49,,Emblematical Recreations,,Emblematical Recreations,,,,,Untitled Emblematical Recreations,,✝️,Monarchy,99,,,"Actual last entry on page is an addition to first entry on page (✝️). Query: in these cases, should we mark ""Monarchy"" as the last entry or ""✝️""?"
toc1_100,1,110,50,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories,,,A few Supplements to ye Biblical Histories,,100,,,
toc1_101,1,111,51,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories (cont.),,,A few Supplements to ye Biblical Histories (cont.),,101,,,
toc1_102,1,112,52,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories (cont.),,,A few Supplements to ye Biblical Histories (cont.),,102,,,
toc1_103,1,113,53,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,A few Supplements to §. 27. or Profane Transactions and Histories,,,A few Supplements to §. 27. or Profane Transactions and Histories,,103,,,
toc1_104,1,114,54,,Introductory Material,,Front Matter,First Version,,Mellitotrophium Apicula Germanopolitan[ae]. F.D.P.,,Introductory Material,,,,104,,,"Title page, verses, etc."
toc1_105,1,115,55,,Introductory Material,Onomastic Symbols,Front Matter,First Version,Symbola Onomastica,Francis Daniel Pastorius. His Hive or Bee-stock. Containing above two thousand little Honey-Combs; Begun in the Year 1696-- And continued for the use of his Children.,,Introductory Material,Symbola Onomastica 1 - 19,1,19,105,,,"Title page, introductory notes, onomastic symbols (1-19), etc.; there are actually 36 onomastic symbols, but FDP has numbered the lines from 1 to 19; continues on image 142"
toc1_106,1,116,55.2,,Book List,,Quaker Writings,,,,Pag. 55 being a Suppemt. to the next three leaves. ,1 - 73,,1,73,106,,,Supplement to the next three leaves
toc1_107,1,117,56,,Book List,,Quaker Writings,,,,,74 - 105,,74,105,107,,,
toc1_108,1,118,56.2,,Book List,,Quaker Writings,,,,,106 - 180,,106,180,108,,,
toc1_109,1,119,57,,Book List,,Quaker Writings,,,,,181 - 269,,181,269,109,,,
toc1_110,1,120,57.2,,Book List,,Quaker Writings,,,,,270 - 347,,270,347,110,,,
toc1_111,1,121,58,,Book List,,Quaker Writings,,,,,350 - 429,,350,429,111,,,
toc1_112,1,122,58.2,,Book List,,Quaker Writings,,,,"Some more of the Writings of the aforesaid People, who make Profession of the True Light, CHRIST JESUS, and are enlightened thereby, See infra pag. 375. 376.",430 - 465,,430,465,112,,,
toc1_113,1,123,59,,Book List,,Non-Quaker Writings,,,"Out of some Other Authors, who did not Profess (much less Possess: yet some thereof in measure) the same Truth with us. ./.",,1 - 59,,1,59,113,,,
toc1_114,1,124,59.2,,Book List,,Non-Quaker Writings,,,,,61 - 130,,61,130,114,,,"60 does not exist; I have marked such absences, but in general, the numbering includes intentional gaps in the middle of the pages as well"
toc1_115,1,125,60,,Book List,,Non-Quaker Writings,,,,,131 - 192,,131,192,115,,,
toc1_116,1,126,60.2,,Book List,,Non-Quaker Writings,,,,,200 - 267,,200,267,116,,,193 to 199 does not exist
toc1_117,1,127,61,,Book List,,Non-Quaker Writings,,,,,268 - 322,,268,322,117,,,
toc1_118,1,128,61.2,,Book List,,Quaker Writings,Friends Writings,,"Collections of Friends Writings, &c.",Adde suprà pag. 56 & infrà p. 376 nu[m]. 61. 62. & in hac. pag. num. 400. post num. 1005,371 - 400,,371,400,118,,,
toc1_119,1,129,62,,Book List,,Non-Quaker Writings,,,,,1 - 60,,1,60,119,,,
toc1_120,1,130,62.2,,Book List,,Non-Quaker Writings,,,,,62 - 113,,62,113,120,,,
toc1_121,1,131,63,,Book List,,Non-Quaker Writings,Anonymous Non-Quaker Writings,,Some More anonymous Authors besides those in [MISSING],,120 - 148,Epigraphs,120,148,121,,,Epigraphs at bottom of page below list item 148
toc1_122,1,132,63.2,,Book List,,Quaker Writings,Friends Writings,,,,Num. 1 - Num. 9,1 - 48,Num. 1,Num. 9,122,,,
toc1_123,1,133,64,,Book List,,Quaker Writings,Friends Writings,,,"NB. that [:Symb:] with the number affixed, refers to my Symbola Onomastica, p. 55. 67. 46. 136. &c. & [:Rhym:] ... to the Rhymes p. 425. &c.",Num. 10 - Num. 18,,Num. 10,Num. 18,123,,,
toc1_124,1,134,64.2,,Book List,,Non-Quaker Writings,,,,"Books in Folio, In Quarto, In Octavo, In Duodecimo",1 - 13; 36 - 40; 80 - 83; 120 - 127,,,,124,,,Works are grouped according to format; numbering system is a bit arcane in that I don't understand it
toc1_125,1,135,65,,Book List,,Non-Quaker Writings,Anonymous Non-Quaker Writings,,"More Anonymous Authors, which were No Quakers, besides those in pag. 63.1st.",,1 - 14 & other unnumbered entries,149 - 159,,,125,,,Arcane numbering system remains arcane
toc1_126,1,136,65.2,,Book List,,Quaker Writings,Anonymous Quaker Writings,,Some more Anonymous Writings publish'd by those called Quakers,,1 - 6; 1 - 9; 26 - 30,,,,126,,,
toc1_127,1,137,66,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,A few Supplements to my former Emblematical Recreations,,1 - 24,,1,24,127,,,Supplement to earlier section (image 85-109)
toc1_128,1,138,66.2,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,,Fr. Quarles Emblems & Emblems of Francis Quarles and Diego de Saavedra Fajardo,,,,128,,,Quarles' section is unnumbered; Saavedra's section numbers from 1 to 38
toc1_129,1,139,67,,Emblematical Recreations,,Emblematical Recreations (Supplemental),,,,,Emblems of Diego de Saavedra Fajardo (cont.),,39,102,129,,,
toc1_130,1,140,67.2,,Onomastic Symbols,,Symbola Onomastica,,,Continuo Symbolorum Onomasticorum,,96 - 179,,96,179,130,,,Continues from image 142
toc1_131,1,141,67.3,,Onomastic Symbols,,Symbola Onomastica,,,,,180 - 249,,180,249,131,,,Continues to image 56
toc1_132,1,142,67.4,,Onomastic Symbols,,Symbola Onomastica,,,,Adde suprà pag. 55.1st,20 - 95,,20,95,132,,,"Continues from image 115, continues to image 140"
toc1_133,1,143,68,,Verse,,Pro & Contra Poetry or Poesie,Miscellaneous Verse,,,,Introduction to the following pages of Pastorius's verses (likely including the Germantown Silva),,,,133,,,Introduction to following pages of FDP's verses; quotations arguing for and against poetry
toc1_134,1,144,?,,Blank Page,,,,,,,,,,,134,,,
toc1_135,1,145,?,,Verse,,Miscellaneous Verse,,,An Alarum to the Wise and Foolish Virgins,,,,,,135,,,
toc1_136,1,146,68.2,,Verse,,Miscellaneous Verse,,,,To my subsequent Hotch-Potch of Rhytmical Whimsies there may also be added what I scribbled above in Pag. 1. 2. 3. 5. 7. 8. 9. 49. 50. 51. 54. 55.,,,,,136,,,
toc1_137,1,147,69,,Indices,Verse,Index to Germantown Silva,,,Index seqq: Metrorum,,Arithmetick - mysteries,,Arithmetick,mysteries,137,,,
toc1_138,1,148,69.2,,Indices,Verse,Index to Germantown Silva,,,,,Neighbourhood - Zaccheus,,Neighbourhood,Zaccheus,138,,,
toc1_139,1,149,70,,Indices,Verse,Index to Germantown Silva,Miscellaneous Verse,,,,Hypocrisie - heavenly Secrets,Poetical phrases & rhymes culled from Miscellaneous Verse,Hypocrisie,heavenly Secrets,139,,,Also contains excerpts from Francis Quarles's emblems
toc1_140,1,150,70.2,,Indices,Verse,Index to Germantown Silva,Miscellaneous Verse,,,,Additions to the preceding Index,Verse written by Pastorius,,,140,,,Additions to previous index; verses
toc1_141,1,151,71,,Verse,,Germantown Silva,,,Silvula Rhytmorum Germanopolitanorum. F. D. P.,,1 - 13,,1,13,141,,,"Not all entires appear, in fact, to be verse"
toc1_142,1,152,71.2,,Verse,,Germantown Silva,,,,,13 (cont.) - 22,,13 (cont.),22,142,,,
toc1_143,1,153,72,,Verse,,Germantown Silva,,,,,23 - 30,,23,30,143,,,
toc1_144,1,154,72.2,,Verse,,Germantown Silva,,,,,31 - 38,,31,38,144,,,
toc1_145,1,155,73,,Verse,,Germantown Silva,,,,,38 (cont.) - 39,,38 (cont.),39,145,,,
toc1_146,1,156,73.2,,Verse,,Germantown Silva,,,,,40 - 52,,40,52,146,,,
toc1_147,1,157,74,,Verse,,Germantown Silva,,,,,53 - 63,,53,63,147,,,
toc1_148,1,158,74.2,,Verse,,Germantown Silva,,,,,64 - 70,,64,70,148,,,
toc1_149,1,159,75,,Verse,,Germantown Silva,,,,,70 (cont.) - 81,,70 (cont.),81,149,,,
toc1_150,1,160,75.2,,Verse,,Germantown Silva,,,,,82 - 92,,82,92,150,,,
toc1_151,1,161,76,,Verse,,Germantown Silva,,,,,93 - 103,,93,103,151,,,
toc1_152,1,162,76.2,,Verse,,Germantown Silva,,,,,103 (cont.) - 117,,103 (cont.),117,152,,,
toc1_153,1,163,77,,Verse,,Germantown Silva,,,,,117 (cont.) - 119,,117 (cont.),119,153,,,
toc1_154,1,164,78,,Verse,,Germantown Silva,,,,,120 - 121,,120,121,154,,,
toc1_155,1,165,79,,Verse,,Germantown Silva,,,,,122 - 129,,122,129,155,,,
