pid,volume,image,pastorius_page_numbers,older_pastorius_page_numbers,type,secondary_type,toc_title,toc_link,section_title,secondary_section_title,tertiary_section_title,pastorius_section_header,pastorius_description,contents,secondary_contents,notes,first_entry,last_entry,order,thumbnail,full,notes_DONOTUSE
toc1_028,1,38,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,facilities sake,harmonious names,030,,,"Last two entries after ""harmonious names"" somewhat illegible due to trimming. Query: what should we do when we can extrapolate the content of an illegible word or line? Extrapolate, or note only what is legible?"
toc1_029,1,39,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,John Harvy,killing forbidden,031,,,
toc1_030,1,40,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,poet Kimblo,Mich. de Montagne,032,,,
toc1_031,1,41,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,Montanists,Parnassus,033,,,
toc1_032,1,42,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,Parochi,rack,034,,,
toc1_033,1,43,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,Racilia,Shirion,035,,,
toc1_034,1,44,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,,,,,Shittim Wood,Transsylvania,036,,,
toc1_035,1,45,,,Indices,Onomastical Considerations,,,Onomastic Index,,,,"NB. Where in this Table the room being all crowded up grew to narrow for more words belonging to that place, you'll find a [: :] with a Number in it, and this refers you to the page next ensuing to this.",,,,Geo. Trapezuntius,John Duke of Zweybrucken,037,,,
toc1_036,1,46,,,Indices,Onomastical Considerations,"1.46: Infarcienda, Or some More Names & Words",Infarcienda,Onomastic Index,Onomastic Index Additions,,"Infarcienda, Or some More Names & Words, to be stuff'd & inserted into the foregoing Table",Finis Indicis Onomastici & 1707.,,,,1,101,038,,,
toc1_037,1,47,,,Indices,Onomastical Considerations,,,Onomastic Index,Onomastic Index Additions,,,,,,,102,157,039,,,
toc1_038,1,48,,,Indices,Onomastical Considerations,,,Onomastic Index,Onomastic Index Additions,,,,,,,158,240,040,,,
toc1_039,1,49,,,Indices,Onomastical Considerations,,,Onomastic Index,Onomastic Index Additions,,,,,,,241,315,041,,,
toc1_040,1,50,,,Indices,Onomastical Considerations,,,Onomastic Index,Onomastic Index Additions,,,,,,,316,387,042,,,
toc1_041,1,51,,,Blank Page,,,,,,,,,,,,,,043,,,
toc1_042,1,52,,,Blank Page,,,,,,,,,,,,,,044,,,
toc1_043,1,53,,,Blank Page,,,,,,,,,,,,,,045,,,
toc1_044,1,54,,,Blank Page,,,,,,,,,,,,,,046,,,
toc1_045,1,55,,,Blank Page,,,,,,,,,,,,,,047,,,
toc1_046,1,56,,,Onomastic Symbols,,1.56: F.D.P. Symbola Onomastica,FDP_Symbola_Onomastica,Symbola Onomastica,,,F.D.P. Symbola Onomastica vide infrà pag 55. 66. 67 ./. qua hic Continuantur.,,,,,250,320,048,,,Continues from image 141
toc1_047,1,57,,,Onomastic Symbols,,,,Symbola Onomastica,,,,,,,,321,389,049,,,
toc1_048,1,58,,,Onomastic Symbols,,,,Symbola Onomastica,,,,Adde infrà pag. 136.,,,,390,465,050,,,Continues to image 225
toc1_049,1,59,,,Introductory Material,,1.59: Francis Daniel Pastorius: his Book. 1696.,Francis_Daniel_Pastorius_His_Book,Front Matter,Second Version,,Francis Daniel Pastorius: his Book. 1696.,,Title Page & Epigraphs to the Manuscript,,,,,051,,,Title page and epigraphs
toc1_050,1,60,,,Introductory Material,,,,Front Matter,Second Version,,"The Contents of the portable Volume of Importation, which having several times been fenced in by Stitching more Sheets thereunto, got quite an other Form or Face than Its first was, even in the eyes of the Compiler himself.","The Alvearium itself, being the chief Bulk of this manuscript, begins pag. 231. / The Title Page thereof, see pag. 1. 54 & 55. / Some thing by Way of a Preface to the Peruse. ÿsdem pag. / The Index or Inventory was once on pag. 56. But a more handsom & compleater Table thou wilt find just before these seven leaves. / The Authors, out of w. It is collected. pag. 56. 57. 58. 59. 60. 61. 62. // Some Inscriptions transcribed out of my Itinerary. pag. 2. 3. 4. 5. 6. 7. 8. 9. 10. / Some Epitaphs out of my Te moneant Lector tot in uno funera libro. Tempere quid certo  Tu quoq' funus eris pag. 11. &c. // Emblematical Recreations from pag. 25. to pag. 54. / Symbola Onomastica F. D. P. pag. 55.1st. / Onomastical Considerations pag. 88. and so on to page 260. / Poetical Raptures pag. 71 to page 140. . Short Caveat to J. S. P & H. P. concerning Poetry. pag. 77. Some other good Admonitions unto the same. pag. 77. 381. // Catalogus variorum librorum pag. 377 &c. // Genelogia Pastoriana. pag. 220.2d./. // a Catalogue of mine other Manuscripts. pag. 386 wch. are neither for the most learned, nor the most unlearned, and where unto I desire none bus a Friendly & Impartial Reader. a Bee & not a Spider. /// At the first undertaking of this Book my mean Scope was for the future Imitation of my two Sons, onely to Collect Common Proverbs, witty Sentences, wise and godly Sayings, with the like substantial marrow of other Men's Writings, &c. See pag. 55 / But afterwards Considering the Copiousness of Words, Phrases & Expressions in the English (: my said two Sons Country-language, For seeing I and my Wife are both Germans, I dare not well call it their Mother Tongue, which they if possible should perfectly learn TO Read & Write to To Indite, I took as much pains & patience as to Import into the Alphabetical Alvearium all & singular Terms, Idioms, Man[n]ers of Stile & Speech used in the same. Now In as much the former is to supply the place of honey, these latter I would have to be accounted if not for Wax, yet for hivedross. &c. See pag. seq. / The Language now a days spoken in England & Colonies thereunto belonging is not the ancient Briton-Tongues, No, not the least Offspring thereof; But a Mingle-mangle of Latin, Dutch & French: Relicks or Remains of the Roman, Saxon & Norman Conquests. / Most Mono Syllables are of a Dutch origin, ax, ox, fox, cow, corn, horn, hard, drink, spin. &c. Words of Many Syllables are either brought in by the Romans, multitude, audacious, implicate, prudently, or by the Normans, buckler, strange, dangerous, delay, advance, maintain. &c. / And besides those there are also Hebrew, Arabick, Greek, Italian, Spanish, Danish and Welch words in the said English Tongues. See my Miscellany Remarks Concerning it pag. 151. / Hence it is that when other Europians can not deliver their minds but by expressing one thing by one word, ye English may do it Commonly by two; Oftentimes by three or four. - ex. gr. Spirit, Ghost, grateful, thankful. alterable, mutable, changeable. breadth, latitude. Sepulchre, tomb, grave. a Count, Eart, Grave. Promote, advance, further. Remission, pardon, forgiveness. bad, ill, naught. Impediment, obstruction, lett, hindrance, stop. aquit, exonerate, dischage, free. Congregation, Meeting, Gathering, assembling, Coming together. &c. More Examples the hive itself furnisheth almost in every Cranny! Therefore ye I. S. P. and H. P. for whose sake It is made, Read the same over & over and & over, But not overly; Mind What and How you are reading. / add p. 55.# / Venturag hyemis memores astate Laborem Ne fugite!  E / Quod Natura negat Vobis Industria praestet. / F. D. P. // For Six-corner'd hole in honey-combs.",Table of Contents & Introductory Notes,,,,,052,,,Table of contents and introductory notes
toc1_051,1,61,1,,Introductory Material,,1.61: Francis Daniel Pastorius: his Alphabetical Hive of more than two thousand Honey-Combs,Francis_Daniel_Pastorius_his_Alphabetical_Hive,Front Matter,Second Version,,"Francis Daniel Pastorius: his Alphabetical Hive of more than two thousand Honey-Combs, begun in the year 1696.",,Title Page & Epigraphs to the Manuscript,,,,,053,,,Title page and epigraphs
toc1_052,1,62,2,,Inscriptions,,1.62: Tantum Quantum; Seu Donum Bonum Inscriptionum,Tantum_Quantum,Inscriptions (Main Section),Inscriptions Table of Contents,,"Tantum Quantum; Seu Donum Bonum Inscriptionum, Inscriptions of Sundry Sorts, And yet, the most in Latin Words","The Heads of the following Inscriptions: I. Sun-dials. 2. Clock-dials & Bells. 3. Steeple-houses, Altars, Organs, Images, &c. 4. Cloisters & Cells. 5. Hospitals, Infirmaries &c. 6. Schools. 7. Libraries. 8. Senate houses & Guild halls. 9. Bridewells. 10. Prisons. 11. Armouries or Magazins for Weapons. 12. Utensils of war, Standards & the like. 13. Mints and Treasure-houses. 14. Burses or Royal Exchanges for Merchants to meet in. 15. Palaces. 16. Tennis-Courts, Bowling-greens, &c. 17. Marketplaces, Shambles. &c. 18. Apothecary Shops. 19. Inns and Ordinaries. 20. Private Dwelling-houses. 21. Doors, Chimneys, Tables. &c. 22. Gardens. 23. Fountains. 24. Ships. 25. Highways. 26. Bridges. 27. Monuments. 28. Statues. 29. Cities & Fortresses. 30. Finster-Schrifften 31. Nammbüchl. Andenck Sprüch. 32. a Miscellaneous Appendix. 33. Privy houses. Post Num. 20. Seals-- (Post Num. 6 Arms or Coat of arms.)",,,,Sun-Dials,Clocks & Bells,054,,,Page also contains Latin verse; index of inscriptions at bottom of page
toc1_053,1,63,3,,Inscriptions,,,,Inscriptions (Main Section),,,"Tantum Quantum, or A few Inscriptions, gather'd out of my own Itinerary",,,,,"I. Over, under & about Sun-dials I observed the following","II. Over and under Clock-Dials, hour glasses, Bells",055,,,
toc1_054,1,64,4,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,"III. Steeple-houses, Altars, Organs, Images, &c.","V. Hospitals, Infirmeries, &c.",056,,,
toc1_055,1,65,5,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,VI. Schools,X. Prisons,057,,,
toc1_056,1,66,6,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,XI. Armouries or Magazins for weapons,XIV. Burses or Royal Exchanges,058,,,
toc1_057,1,67,7,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,XV. Palaces,ʘ Seals,059,,,"Last entry is appended after ""XX. Private Dwelling-houses"""
toc1_058,1,68,8,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,"XXI. Doors, Chimneys, Tables. &c.",XXV. high-ways,060,,,
toc1_059,1,69,9,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,XXVI. Bridges,"XXIX. Cities, Fortresses, &c.",061,,,
toc1_060,1,70,10,,Inscriptions,,,,Inscriptions (Main Section),,,,,,,,"XXX. Inscriptions on glass-Windows, Tobacco-Boxes, knives, &c.",XXXIV. Einige Gottslästerliche Inscriptiones,062,,,
toc1_061,1,71,11,,Epitaphs,,1.71: Some Epitaphs ex Libello Epitaphiorum,Some_Epitaphs,Epitaphs I,,,"Some Epitaphs ex Libello Epitaphiorum, Olim à me collecto.","Der ich beÿ frembder Grustt so manche Schriftt gelesen, und derer Ziemlich viel hab' in ein Buch gebracht, Weiß nicht Wo, Wann u. Wie ich selbsten werd Vorwesen,, Drumb gieb ich Welt-lustung dir tausend gute nacht, und dencke Jeder Zeit an meine Sterbligkeit. / So thu' auch Leser du, und laß uns recht erwägen das Seelig Sterben seÿ, damit wir beede mögen Bereit seÿn Zu dem Tag, den niemand meiden mag. Dan[n] Si malè vicisti, nil Epita. prosunt, Die Grabschriftt machts nicht aus. Ein from[m] gehorsam sind erlangt die Ehren-Cron : Ein ungetreüer knecht bekommt die höll Zu lohn. Die Grabschrifft machts nicht aus. Ergò Si Sapis J?o Ut Sapias, mecum, Disce mori - Memento mori. Omnes enim defuncti uno quasi Ore Te ita allo'quuntur : Quod fuimus, nunc es, Quod sumus, illud eris. F. D. P.",,,,1,30,063,,,Continues on image 79
toc1_062,1,72,12,,Epitaphs,,,,Epitaphs II,,,,"Nun folgen Einige, die ich die Meinige, und mich darvon den beugen Zeügen nenn / weil ich einst reisende die andern weisende Mit Eig'ner hand so abcopiert bekom. / Ich geb' o Sterbliche! Diese Verderbliche Grabschriften Eüch zu Eürer unterricht; / Les't woll erwägende u. überlegende, daß Gott die bösen straftt, die from[m]en guten nichts. / Reichtthum, und Sündt thun macht eben den unterscheid Zwitschen den Kindern gottes u. des teüffels, 1. Joh. 3:7. / Ob derohalben gute Werck Zu Erlaugnung der Seeligkeit nöthig seÿn, sihe Matt. 25. &c. / Aut mors, aut Vita decora. Wercke von den Glauben rauben, wer kan da ein Glauben glauben? // Darumb mein him[m]licher Vatter, dieweilen der wahre Glaub deiner guten u. Vollkom[m]en gaben ist / giebe mir umb Jesu Christi, deines Eingebohren Sohns willen, denjenen Glauben, welcher durch / die Liebe thätig ist, das Hertz reiniget, die Welt überwindtt, einen freüdigen u. Zuvorsichthlichen / Zugang Zu dir verstattet, und dir wollgefällig, gerechte u! Ewig seelig macht! Amen. / gal. 5:6. Act. 15:9. 1. Joh. 5:4. Eph. 3:12. Hebr. 11:5. Act. 13:39. Eph. 2:8. / Dum me jubes emigrare JESU chare, Tunc appare, O Amator amplectende! Per id tempus Te oftende, / Et fide saluteferâ Tuere me ac libera. Jesu wan[n] mich kranckheit drückt, Seÿ der Artzt, der mich erquickt. / Hülft's Lebens-furst mir Kämpfen, Tod und Todes furchtt Zu dämpfen, / Erdlich führe mich Zum Ruh wann ich schleiß mein augen Zu. Amen, Amen, Amen! ",,,,1,7,064,,,
toc1_063,1,73,13,,Epitaphs,,,,Epitaphs II,,,, ,,,,8,17,065,,,
toc1_064,1,74,14,,Epitaphs,,,,Epitaphs II,,,,,,,,18,32,066,,,
toc1_065,1,75,15,,Epitaphs,,,,Epitaphs II,,,,,,,,33,49,067,,,
toc1_066,1,76,16,,Blank Page,,,,,,,,,,,,,,068,,,
toc1_067,1,77,17,,Blank Page,,,,,,,,,,,,,,069,,,
toc1_068,1,78,18,,Inscriptions,,1.78: Inscriptions (Addenda),Inscriptions_Addenda,Inscriptions (Addenda),,,,,,,,Inscriptions to Steeple-houses. &c.,Venetiis ad Tribunal,070,,,
toc1_069,1,79,19,,Epitaphs,,1.79: Epitaphs,Epitaphs,Epitaphs I,,,,Sequentia refer ad Pag. ante ad. 11,,,,31,45,071,,,Continued from image 71
toc1_070,1,80,20,,Verse,,1.80: Out of Sir John Denham's Directions to a Painter,Out_of_Sir_John_Denhams_Directions_to_a_Painter,Miscellaneous Verse,,,,,Out of Sir John Denham's Directions to a Painter & Miscellaneous Verse,,,Out of Sir John Denham's Directions to a Painter,Miscellaneous Verse,072,,,
toc1_071,1,81,21,,Verse,,1.81: Advice about Marriage. M. Maint.,Advice_about_Marriage,Miscellaneous Verse,,,,,Advice about Marriage. M. Maint. p. 86. however somewhat alter'd. & Miscellaneous Verse,,,Advice about Marriage. M. Maint.,Miscellaneous Verse,073,,,
toc1_072,1,82,22,,Verse,,1.82: A Copy of Verses writ by Thomas Ellwood,A_Copy_of_Verses_writ_by_Thomas_Ellwood,Miscellaneous Verse,,,A Copy of Verses writ by Thomas Ellwood,,,,,A Copy of Verses writ by Thomas Ellwood,,074,,,
toc1_073,1,83,23,,Blank Page,,,,,,,,,,,,,,075,,,
toc1_074,1,84,24,,Miscellania,,1.84: An Evangelical account of the Life of Jesus Christ written by Nicodemus,An_Evangelical_account_of_the_Life_of_Jesus,Miscellaneous Excerpts,,,,An Evangelical account of the Life of Jesus Christ written by Nicodemus & A Letter of Publius Lentulus President in Judea to Tiberius Caesar concerning the Lord Jesus Christ's person and Stature,An Evangelical account of the Life of Jesus Christ  & A Letter of Publius Lentulus ,,,,,076,,,
toc1_075,1,85,25,,Emblematical Recreations,,1.85: Emblematical Recreations,Emblematical_Recreations,Emblematical Recreations,,,Emblematical Recreations,"And whereas Examples everywhere prevail above Precepts, I under the following heads viz: 1 the Whole World. 2. the Heaven. 3. Sun, Moon and Stars. 4. the Air & Etherial regions. 5. the Fire. 6. the Water, Rivers, Fountains. &c. 7. the Earth. 8. Mortals & Minerals. 9. Stones, Jewels, Pearls. &c. 10. Trees & Shrubs with 11. the Several Fruits thereof. 12. Herbs & Flowers. 13. Fourfooted Creatures. 14. Birds, Fowls & all what flieth. 15. Fishes & Amphibious. 16. Serpents, Creeping Vermins & Insects. 17. Buildings, Gardens & what not. 18. Houshold Stuff. 19. Tools or Instruments. 20. Clocks, Dials, hour-glasses. &c. 21. Weapons & things belonging to Carnal Warfare. 22. Books. &c. &c. &c. 23. Man & Woman, as also 24. the several members of their Bodies. 25. Death & Funerals. 26. Histories either out of the Bible, or 27. Prophane Writers. / Shall Collect, or rather Recollect as many, as are not worn out of my Memory. Being once a Traveller in the World, mine eyes wandered about hither & thither, up & down, over & under, especially gazing on the painted Walls & Tombs of Great Men, falsely so esteemed. Luk. 18:19. and besides the following Emblems did observe several other Literal Plays and Ingenious Sports, ex: gr. / 1. Hieroglyphiks; or Egyptian Characters, used in stead of words; which all can not read. A child, an old man, an hawk, an hippopotamus & a crocodile we must spell thus. O ye that come into ye World, & goe out of it, God hates Impudence. / 2. Rebus; or Europian Hieroglyphiks, of a later date but of the same kind; an eye, a Loaf, a Rose, an Hill &c.will signify. I love Rose Hill well. / 3. Epitaphs; One that had employed many Doctors in his sickness, but all to no purpose, made himself this: Quod morbus non potuit, fecerunt Medici; Illorum turba me peremit. Multorum aunilio opporesus sum. vide sup. p. 11. / 4. Inscriptions; especially over Sun-dials. Ut radius, sie vita fluit, dum stare videtur. Our days upon earth are a Shadow. Job 8:9. Psal. 144:4. Eccles. 8:13. vide sup. p 3. [.] Over a School-door: Hoec domus est Christo Studÿsg-, dicata Inverboe; Nemo sacrum videt, dedecoretue locum. / 5. Posies; as, of a Ring: Ornat honoris Onus. or Decus virtute meredum. / 6. Symboles; as that of Leopold the First, now German Emperour: Consilio & Industrà. of the Royal Society in Englanf: Nullins in verba. Caspar Schwenckfels Nil Christo triste recepto. / 7. Anagram[m]s; or Disolutions of words into their elements; this transpose of letters prophetically promised that James Stuart would be a Just Master. / But I must not enlarge beyong mine own intention, & tell you of other fine Poetical knaks as Eacch's, Achrostiches, Serpentine Verses, Recurrents, Numerals, &c. -- which I saw not only in Print, but even upon Columns & Tables of marble. S for a conclusion of this (: as if it were a :) Preface I shall say no more; desiring only your answer to a syllogism, I remember was represented to my view in a glass-window of the Senate-house of Nurnberg, viz {Incuria est Vituperanda, / Consul N: est in Curiâ, / Ergo Consul N: est Vituperandus.}",Emblematical Recreations Table of Contents,,,Title Page,Introduction,077,,,
toc1_076,1,86,26,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,1. The Universe or Whole World,2. The Heavens,078,,,
toc1_077,1,87,27,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"3. Sun, Moon & Stars",,079,,,
toc1_078,1,88,28,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"3. Sun, Moon & Stars (cont.)",,080,,,
toc1_079,1,89,29,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"3. Sun, Moon & Stars (cont.)",4. The Air & Etherial Regions,081,,,
toc1_080,1,90,30,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,5. The Fire,"6. The Waters, Rivers, Fountains",082,,,
toc1_081,1,91,31,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,7. The Earth,8. Metals & Minerals,083,,,
toc1_082,1,92,32,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"9. Stones, Jewels, Pearls &c.",10. Trees & Shrubs,084,,,
toc1_083,1,93,33,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,11. Several Fruits,12. Herbs & Flowers,085,,,
toc1_084,1,94,34,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,13. Fourfooted Creatures,,086,,,
toc1_085,1,95,35,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"14. Birds, fowls & flying Ones",,087,,,
toc1_086,1,96,36,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"14. Birds, fowls & flying Ones (cont.)",15. Fishes & Amphibious,088,,,
toc1_087,1,97,37,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,"16. Serpens, Vermins & Insects","17. Buildings, Gardens",089,,,
toc1_088,1,98,38,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,18. Houshold-Stuff. Clothes. &c.,19. Tools or Instruments,090,,,
toc1_089,1,99,39,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,19. Tools or Instruments (cont.),"20. Clocks, Dials, Hourglasses",091,,,
toc1_090,1,100,40,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,21. Weapons & the like,,092,,,
toc1_091,1,101,41,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,22. Books. &c.,,093,,,
toc1_092,1,102,42,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,23. Man & Woman,,094,,,
toc1_093,1,103,43,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,24. The many Members of the Body,,095,,,
toc1_094,1,104,44,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,25. Death and Funerals,,096,,,
toc1_095,1,105,45,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,26. Biblical Histories,,097,,,
toc1_096,1,106,46,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,26. Biblical Histories (cont.),,098,,,
toc1_097,1,107,47,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,27. Prophane Histories & Fables,,099,,,
toc1_098,1,108,48,,Emblematical Recreations,,,,Emblematical Recreations,,,,,,,,27. Prophane Histories & Fables (cont.),,100,,,
toc1_099,1,109,49,,Emblematical Recreations,,,,Emblematical Recreations,,,,,Untitled Emblematical Recreations,,,✝,Monarchy,101,,,"Actual last entry on page is an addition to first entry on page (✝️). Query: in these cases, should we mark ""Monarchy"" as the last entry or ""✝️""?"
toc1_100,1,110,50,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories,,,,A few Supplements to ye Biblical Histories,,102,,,
toc1_101,1,111,51,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories (cont.),,,,A few Supplements to ye Biblical Histories (cont.),,103,,,
toc1_102,1,112,52,,Emblematical Recreations,,,,Emblematical Recreations (Supplemental),,,,A few Supplements to ye Biblical Histories (cont.),,,,A few Supplements to ye Biblical Histories (cont.),,104,,,
