volume,image_number,head,entry,topic,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri
Volume 1,431,,Absurdity,Absurdity,,,589 [Nonsense]|919 [Absurd],,absurdity,#item-1e0398189,,Entry: Absurdity|Topic: Absurdity|Xref: 589 [Nonsense]|Xref: 919 [Absurd]|Index: absurdity|#item-1e0398189,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/275,697,3160,624/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415847665
Volume 1,431,,Abundance,Abundance,,,Too much|Superfluity,,abundance,#item-47e3112fb,,Entry: Abundance|Topic: Abundance|Xref: Too much|Xref: Superfluity|Index: abundance|#item-47e3112fb,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/316,1203,3137,656/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1486415950224
Volume 1,431,,Adiaphory,Adiaphory,,,176 [Indifferency],,adiaphory,#item-d38a0df93,,Entry: Adiaphory|Topic: Adiaphory|Xref: 176 [Indifferency]|Index: adiaphory|#item-d38a0df93,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/232,2763,3234,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490035043095
Volume 1,431,,Advantage,Advantage,,,Profit|Benefit|Utility,,advantage,#item-186cc582d,,Entry: Advantage|Topic: Advantage|Xref: Profit|Xref: Benefit|Xref: Utility|Index: advantage|#item-186cc582d,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/369,3725,3011,473/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490035959587
Volume 1,431,,Adventure,Adventure,,,Casualty|623 [Adventure],,adventure,#item-076a9d1b7,,Entry: Adventure|Topic: Adventure|Xref: Casualty|Xref: 623 [Adventure]|Index: adventure|#item-076a9d1b7,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/357,4133,3048,401/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490036222861
Volume 1,431,,Adversity,Adversity,,,Gods affection|712 [Adversity],,adversity,#item-fb558fcd2,,Entry: Adversity|Topic: Adversity|Xref: Gods affection|Xref: 712 [Adversity]|Index: adversity|#item-fb558fcd2,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/373,4366,3048,673/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0430/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490037841809
Volume 1,432,,[WORD_MISSING],Adultery,,,Baudry|Whoredom|1002 [Adultery],,adultery,#item-7dab944a8,,Entry: [WORD_MISSING]|Topic: Adultery|Xref: Baudry|Xref: Whoredom|Xref: 1002 [Adultery]|Index: adultery|#item-7dab944a8,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/714,224,3138,432/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490629233166
Volume 1,432,,Affections,Affections,,,Concupiscence|1187 [Affections],,affections,#item-24beb43cc,,Entry: Affections|Topic: Affections|Xref: Concupiscence|Xref: 1187 [Affections]|Index: affections|#item-24beb43cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/701,486,3175,594/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490629287456
Volume 1,432,,Agony,Agony,,,1065 [Agony],,agony,#item-b7d840586,,Entry: Agony|Topic: Agony|Xref: 1065 [Agony]|Index: agony|#item-b7d840586,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/684,953,3181,422/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490629346026
Volume 1,432,,Agreableness,Agreableness,,,85 [Wel- and Unwelcome]|889 [Agreable],,agreable,#item-16d46db60,,Entry: Agreableness|Topic: Agreableness|Xref: 85 [Wel- and Unwelcome]|Xref: 889 [Agreable]|Index: agreable|#item-16d46db60,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/661,1247,3203,403/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490629815347
Volume 1,432,,Agriculture,Agriculture,,,Husbandry|1130 [Agriculture],,agriculture,#item-e3fb6b9d3,,Entry: Agriculture|Topic: Agriculture|Xref: Husbandry|Xref: 1130 [Agriculture]|Index: agriculture|#item-e3fb6b9d3,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/621,1945,3261,429/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490629930638
Volume 1,432,,All,All,,,415 [All],,all,#item-f2b0670ff,,Entry: All|Topic: All|Xref: 415 [All]|Index: all|#item-f2b0670ff,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/801,2816,3014,341/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490638607677
Volume 1,432,,Alliance,Alliance,,,1384 [Alliance],,alliance,#item-cc0c50e71,,Entry: Alliance|Topic: Alliance|Index: alliance|Xref: 1384 [Alliance]|#item-cc0c50e71,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/785,3052,3007,505/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490638655540
Volume 1,432,,Alms,Alms,,,Begging|Gift|528 [Alms],,alms,#item-36ff0e636,,Entry: Alms|Topic: Alms|Xref: Begging|Xref: Gift|Xref: 528 [Alms]|Index: alms|#item-36ff0e636,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/786,3658,3002,508/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490638987153
Volume 1,432,,Ambassage,Ambassage,,,Apostle|1876 [PAGE_MISSING],,ambassage,#item-a5a2772a2,,Entry: Ambassage|Topic: Ambassage|Xref: Apostle|Xref: 1876 [PAGE_MISSING]|Index: ambassage|#item-a5a2772a2,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/823,4079,2960,391/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490639051760
Volume 1,432,,Ambition,Ambition,,,Precedency|1156 [Ambition],,ambition,#item-6c6b63904,,Entry: Ambition|Topic: Ambition|Xref: Precedency|Xref: 1156 [Ambition]|Index: ambition|#item-6c6b63904,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/800,4352,2988,673/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0431/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490639119455
Volume 1,433,,Amending,Amending,,,Reformation|464 [Amending],,amending,#item-8e7bab3aa,,Entry: Amending|Topic: Amending|Xref: Reformation|Xref: 464 [Amending]|Index: amending|#item-8e7bab3aa,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/252,181,3150,599/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490640530881
Volume 1,433,,Anagram,Anagram,,,1078 [Anagram],,anagrams,#item-a8e38fd24,,Entry: Anagram|Topic: Anagram|Xref: 1078 [Anagram]|Index: anagrams|#item-a8e38fd24,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/270,590,3139,404/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490640663502
Volume 1,433,,Anatomizing,Anatomizing,,,,,anatomizing,#item-dc5fcb045,,Entry: Anatomizing|Topic: Anatomizing|Index: anatomizing|#item-dc5fcb045,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/288,1020,3159,494/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490640837855
Volume 1,433,,Angel,Angel,,,315 [Angels],,angel,#item-3a6988f22,,Entry: Angel|Topic: Angel|Xref: 315 [Angels]|Index: angel|#item-3a6988f22,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/290,1311,3154,436/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490641022430
Volume 1,433,,Anger,Anger,,,Wrath|529 [Angry],,anger,#item-095035ce9,,Entry: Anger|Topic: Anger|Xref: Wrath|Xref: 529 [Angry]|Index: anger|#item-095035ce9,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/264,1581,3148,619/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490641149802
Volume 1,433,,Ant,Ant,,,,,ant,#item-2be80ecb9,,Entry: Ant|Topic: Ant|Index: ant|#item-2be80ecb9,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/277,2588,3145,266/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642211353
Volume 1,433,,Antipathy,Antipathy,,,670 [Antipathy],,antipathy,#item-6a7ee57cc,,Entry: Antipathy|Topic: Antipathy|Index: antipathy|Xref: 670 [Antipathy]|#item-6a7ee57cc,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/331,3289,3107,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642375036
Volume 1,433,,Antipodes,Antipodes,,,1489 [Antipodes],,antipodes,#item-0690c7a55,,Entry: Antipodes|Topic: Antipodes|Xref: 1489 [Antipodes]|Index: antipodes|#item-0690c7a55,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/352,3468,3107,311/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642425961
Volume 1,433,,Ape,Ape,,,802 [PAGE_MISSING],,ape,#item-218629065,,Entry: Ape|Topic: Ape|Xref: 802 [PAGE_MISSING]|Index: ape|#item-218629065,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/342,3628,3101,320/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642530691
Volume 1,433,,Apocrypha,Apocrypha,,,959 [apocryphis],,apocrypha,#item-4c389f708,,Entry: Apocrypha|Topic: Apocrypha|Xref: 959 [apocryphis]|Index: apocrypha|#item-4c389f708,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/358,3789,3103,387/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642584015
Volume 1,433,,Apostle,Apostle,,,Ambassage|328 [Peter]|947 [Apostle],,apostle,#item-a70633592,,Entry: Apostle|Topic: Apostle|Xref: Ambassage|Xref: 328 [Peter]|Xref: 947 [Apostle]|Index: apostle|#item-a70633592,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/377,4557,3103,501/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0432/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490642719746
Volume 1,434,,[WORD_MISSING],Apothecary,,,4794 [Apothecary],,apothecary,#item-31ae4a109,,Entry: [WORD_MISSING]|Topic: Apothecary|Xref: 4794 [Apothecary]|Index: apothecary|#item-31ae4a109,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/669,194,3191,465/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811624344
Volume 1,434,,Apparel,Apparel,,,19 [Clothes]|194 [Apparel],,apparel,#item-b54e3c8b0,,Entry: Apparel|Topic: Apparel|Xref: 19 [Clothes]|Xref: 194 [Apparel]|Index: apparel|#item-b54e3c8b0,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/755,445,3105,787/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811680095
Volume 1,434,,Apparition,Apparition,,,1313 [Spectres],,apparitions,#item-70846fcea,,Entry: Apparition|Topic: Apparition|Xref: 1313 [Spectres]|Index: apparitions|#item-70846fcea,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/809,997,3026,565/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811750992
Volume 1,434,,Apples,Apples,,,1940 [Apple-Tree],,apples. appletree,#item-ba31e3a8b,,Entry: Apples|Topic: Apples|Xref: 1940 [Apple-Tree]|Index: apples. appletree|#item-ba31e3a8b,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/814,1359,3040,375/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811819337
Volume 1,434,,Arithmetick,Arithmetick,,,457 [Arithmetick],,arithmetick,#item-2bef0507e,,Entry: Arithmetick|Topic: Arithmetick|Xref: 457 [Arithmetick]|Index: arithmetick|#item-2bef0507e,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/798,1637,3044,576/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811915522
Volume 1,434,,Articles of faith,Articles of faith,,,581 [Articles of faith],,articles of faith,#item-4a2192656,,Entry: Articles of faith|Topic: Articles of faith|Xref: 581 [Articles of faith]|Index: articles of faith|#item-4a2192656,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/798,2022,3031,671/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490811953429
Volume 1,434,,Atheism,Atheism,,,Blasphemy|240 [Atheism],,atheism,#item-e59b1e948,,Entry: Atheism|Topic: Atheism|Xref: Blasphemy|Xref: 240 [Atheism]|Index: atheism|#item-e59b1e948,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/787,2685,3015,597/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490812103104
Volume 1,434,,Authority,Authority,,,Reputation|2346 [Authority],,authority,#item-e80f7e90c,,Entry: Authority|Topic: Authority|Xref: Reputation|Xref: 2346 [Authority]|Index: authority|#item-e80f7e90c,"https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/780,3105,3056,667/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/ps974xt6740/1607_0433/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1490812154700
Volume 3,7,absolutely,1475 [Absolutely],,,,,,,#item-ea505db5b,,Head: absolutely|Entry: 1475 [Absolutely]|#item-ea505db5b,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/202,1255,532,117/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191079887
Volume 3,7,account,56 [Account],,,,,,,#item-3d871be17,,Head: account|Entry: 56 [Account]|#item-3d871be17,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/171,2409,511,109/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191420803
Volume 3,7,accurate,147 [Exactness],,,,,,,#item-25553776f,,Head: accurate|Entry: 147 [Exactness]|#item-25553776f,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/176,2524,537,93/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191433131
Volume 3,7,acorns,1431 [Acorns],,,,,,,#item-e97b77199,,Head: acorns|Entry: 1431 [Acorns]|#item-e97b77199,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/166,3051,469,83/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491191607454
Volume 3,7,advocate,556 [Advocate],,,,,,,#item-0275983cc,,Head: advocate|Entry: 556 [Advocate]|#item-0275983cc,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/909,1214,541,66/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491192609871
Volume 3,7,[ae]tna,163 [Mountain],,,,,,,#item-044279208,,Head: [ae]tna|Entry: 163 [Mountain]|#item-044279208,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/900,1321,370,69/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491192728859
Volume 3,7,aliens,1076 [Stranger]|4772 [PAGE_MISSING],,,,,,,#item-2794e4a23,,Head: aliens|Entry: 1076 [Stranger]|Entry: 4772 [PAGE_MISSING]|#item-2794e4a23,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/1601,1218,651,97/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491236235603
Volume 3,7,ambush,773 [PAGE_MISSING]|1919 [Ambush],,,,,Snare,,#item-03b5b78f5,,Head: ambush|See: Snare|Entry: 773 [PAGE_MISSING]|Entry: 1919 [Ambush]|#item-03b5b78f5,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/1594,3431,697,195/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491237317180
Volume 3,8,am[m]unition,863 [PAGE_MISSING],,,,,,,#item-64e45eb1d,,Head: am[m]unition|Entry: 863 [PAGE_MISSING]|#item-64e45eb1d,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/414,515,541,81/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491237569118
Volume 3,8,Anne,1811 [Queen Anne],,,,,,,#item-6eda6504c,,Head: Anne|Entry: 1811 [Queen Anne]|#item-6eda6504c,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/396,2053,384,66/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491238619376
Volume 3,8,antiChrist,a|905 [AntiChrist]|2432 [AntiChrist],,,,,,,#item-b173fa562,,Head: antiChrist|Entry: a|Entry: 905 [AntiChrist]|Entry: 2432 [AntiChrist]|#item-b173fa562,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/373,2729,693,128/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491238854778
Volume 3,8,antimonium,917 [Antimonium],,,,,,,#item-e219caae5,,Head: antimonium|Entry: 917 [Antimonium]|#item-e219caae5,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/376,2962,591,116/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491238884541
Volume 3,8,aqueduct,1126 [Aqueduct],,,,,,,#item-4bce89933,,Head: aqueduct|Entry: 1126 [Aqueduct]|#item-4bce89933,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1095,2892,495,116/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491239815605
Volume 3,8,arabia,1375 [Arabians],,,,,,,#item-11159294e,,Head: arabia|Entry: 1375 [Arabians]|#item-11159294e,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1107,3008,419,128/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491239829752
Volume 3,8,argument ad hominem,2183 [Argumentum ad hominem],,,,,,,#item-d5b0d384e,,Head: argument ad hominem|Entry: 2183 [Argumentum ad hominem]|#item-d5b0d384e,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1823,305,682,54/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491248159691
Volume 3,8,arrival,656 [Arrival],,,,,,,#item-6497e03f9,,Head: arrival|Entry: 656 [Arrival]|#item-6497e03f9,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1770,1115,552,94/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491248565942
Volume 3,8,arrius,4881 [WORD_MISSING],,,,,,,#item-74c469bd8,,Head: arrius|Entry: 4881 [WORD_MISSING]|#item-74c469bd8,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1780,1206,446,65/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491248582114
Volume 3,8,artificial wine,,,,,,,,#item-54d176fb7,,Head: artificial wine|#item-54d176fb7,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/1793,1858,442,87/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0951/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1491248831274
