pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,insertion,thumbnail,label,location,issue,also_in_entry
num_1089,Volume 2,171,,868,Meditation,851-875,,,4602 [PAGE_MISSING],,<a href='/digital-beehive/index3/index_2453/'>meditation</a>,#item-a2c95fdb7,,Entry: 868|Topic: Meditation|Xref: 4602 [PAGE_MISSING]|Index: meditation|#item-a2c95fdb7,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/412,2890,2853,710/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134640585,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/412,2890,600,180/250,/0/default.jpg",868. Meditation,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1088/'>End</a>
num_1090,Volume 2,171,,869,Oven,851-875,,,,,<a href='/digital-beehive/index4/index_2852/'>oven</a>,#item-afb15770d,,Entry: 869|Topic: Oven|Index: oven|#item-afb15770d,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/400,3471,1729,195/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134802251,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/400,3471,600,180/250,/0/default.jpg",869. Oven,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1091/'>Newly</a>|<a href='/digital-beehive/num4/num_1092/'>Everywhere</a>
num_1091,Volume 2,171,,869,Newly,851-875,,,,,<a href='/digital-beehive/index3/index_2714/'>newly</a>,#item-cfb1b6f4c,,Entry: 869|Topic: Newly|Index: newly|#item-cfb1b6f4c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/425,3680,2813,292/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134869231,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/425,3680,600,180/250,/0/default.jpg",869. Newly,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1090/'>Oven</a>|<a href='/digital-beehive/num4/num_1092/'>Everywhere</a>
num_1092,Volume 2,171,,869,Everywhere,851-875,,,4598 [PAGE_MISSING],,<a href='/digital-beehive/index2/index_1312/'>everywhere</a>|<a href='/digital-beehive/index5/index_4544/'>where</a>,#item-6d7c3ba90,,Entry: 869|Topic: Everywhere|Xref: 4598 [PAGE_MISSING]|Index: everywhere|Index: where|#item-6d7c3ba90,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/398,3909,2827,332/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582134953648,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/398,3909,600,180/250,/0/default.jpg",869. Everywhere,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1090/'>Oven</a>|<a href='/digital-beehive/num4/num_1091/'>Newly</a>
num_1093,Volume 2,171,,870,Inconstancy,851-875,,,<a href='/digital-beehive/toc/toc2_319/'>1624 [Inconstant]</a>,,<a href='/digital-beehive/index3/index_1974/'>inconstant</a>|<a href='/digital-beehive/index5/index_4447/'>unstable</a>,#item-e0dd68f0c,,Entry: 870|Topic: Inconstancy|Xref: 1624 [Inconstant]|Index: inconstant|Index: unstable|#item-e0dd68f0c,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/398,4191,2847,834/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135151301,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0638/398,4191,600,180/250,/0/default.jpg",870. Inconstancy,<a href='/digital-beehive/toc/toc2_161/'>Full Page</a>,,
num_1094,Volume 2,172,,871,Prey,851-875,,,,,<a href='/digital-beehive/index4/index_3183/'>prey</a>|<a href='/digital-beehive/index4/index_3794/'>spoil</a>,#item-c221404e2,,Entry: 871|Topic: Prey|Index: prey|Index: spoil|#item-c221404e2,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/896,205,2874,277/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135388997,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/896,205,600,180/250,/0/default.jpg",871. Prey,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1095,Volume 2,172,,871,a Saddle,851-875,,,,,<a href='/digital-beehive/index4/index_3464/'>saddle</a>,#item-fb64fa9eb,,Entry: 871|Topic: a Saddle|Index: saddle|#item-fb64fa9eb,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/936,437,2745,216/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135455425,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/936,437,600,180/250,/0/default.jpg",871. a Saddle,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1096,Volume 2,172,,871,traces,851-875,,,,,<a href='/digital-beehive/index2/index_1908/'>horse traces</a>,#item-4f962d7cf,,Entry: 871|Topic: traces|Index: horse traces|#item-4f962d7cf,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/954,569,2794,166/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135494591,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/954,569,600,180/250,/0/default.jpg",871. traces,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1097,Volume 2,172,,871,a Rod,851-875,,,<a href='/digital-beehive/toc/toc2_386/'>2208 [Rod]</a>,,<a href='/digital-beehive/index4/index_3438/'>rod</a>|<a href='/digital-beehive/index5/index_4496/'>to whip</a>,#item-0fade79de,,Entry: 871|Topic: a Rod|Xref: 2208 [Rod]|Index: rod|Index: to whip|#item-0fade79de,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/916,603,2780,344/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135604547,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/916,603,600,180/250,/0/default.jpg",871. a Rod,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1098,Volume 2,172,,871,Vessel,851-875,,,<a href='/digital-beehive/alpha4/alpha_0718/'>Pocket</a>|733 [Pot],,<a href='/digital-beehive/index5/index_4260/'>vessel</a>,#item-2abc23683,,Entry: 871|Topic: Vessel|Xref: Pocket|Xref: 733 [Pot]|Index: vessel|#item-2abc23683,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/902,791,2707,227/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135686562,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/902,791,600,180/250,/0/default.jpg",871. Vessel,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,"The point of reference for ""Pot"" is unclear.",<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1099,Volume 2,172,,871,a Chest,851-875,,,<a href='/digital-beehive/toc/toc2_321/'>1631 [Box]</a>,,<a href='/digital-beehive/index1/index_0550/'>chest</a>,#item-39720d55b,,Entry: 871|Topic: a Chest|Xref: 1631 [Box]|Index: chest|#item-39720d55b,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/876,923,1924,160/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135848119,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/876,923,600,180/250,/0/default.jpg",871. a Chest,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1100,Volume 2,172,,871,a basket,851-875,,,<a href='/digital-beehive/alpha4/alpha_0718/'>Pocket</a>,,<a href='/digital-beehive/index1/index_0235/'>basket</a>,#item-b17de760a,,Entry: 871|Topic: a basket|Xref: Pocket|Index: basket|#item-b17de760a,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/939,1038,2520,167/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582135901679,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/939,1038,600,180/250,/0/default.jpg",871. a basket,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1101/'>a Sheath</a>
num_1101,Volume 2,172,,871,a Sheath,851-875,,,733 [PAGE_MISSING],,<a href='/digital-beehive/index4/index_3692/'>sheath</a>,#item-86b328069,,Entry: 871|Topic: a Sheath|Xref: 733 [PAGE_MISSING]|Index: sheath|#item-86b328069,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/944,1156,2605,180/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582136269609,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/944,1156,600,180/250,/0/default.jpg",871. a Sheath,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1094/'>Prey</a>|<a href='/digital-beehive/num4/num_1095/'>a Saddle</a>|<a href='/digital-beehive/num4/num_1096/'>traces</a>|<a href='/digital-beehive/num4/num_1097/'>a Rod</a>|<a href='/digital-beehive/num4/num_1098/'>Vessel</a>|<a href='/digital-beehive/num4/num_1099/'>a Chest</a>|<a href='/digital-beehive/num4/num_1100/'>a basket</a>
num_1102,Volume 2,172,,872,Promise,851-875,,,<a href='/digital-beehive/num4/num_1135/'>885 [The dutiful Childs Promises]</a>|<a href='/digital-beehive/toc/toc2_279/'>1428 [Promises]</a>,,[NOT_IN_INDEX],#item-978d9eb5e,,Entry: 872|Topic: Promise|Xref: 885 [The dutiful Childs Promises]|Xref: 1428 [Promises]|Index: [NOT_IN_INDEX]|#item-978d9eb5e,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/937,1175,2791,887/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582136771590,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/937,1175,600,180/250,/0/default.jpg",872. Promise,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1103/'>Clothes</a>
num_1103,Volume 2,172,,872,Clothes,851-875,,,<a href='/digital-beehive/toc/toc2_278/'>1424 [Clothes]</a>,,<a href='/digital-beehive/index1/index_0696/'>clothes</a>,#item-19feca0b0,,Entry: 872|Topic: Clothes|Xref: 1424 [Clothes]|Index: clothes|#item-19feca0b0,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/860,1900,2814,516/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582137250595,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/860,1900,600,180/250,/0/default.jpg",872. Clothes,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1102/'>Promise</a>
num_1104,Volume 2,172,,873,To Tremble,851-875,,,<a href='/digital-beehive/num3/num_0851/'>629 [To Quake]</a>,,<a href='/digital-beehive/index4/index_3665/'>to shake</a>|<a href='/digital-beehive/index5/index_4190/'>to tremble</a>,#item-766d33762,,Entry: 873|Topic: To Tremble|Xref: 629 [To Quake]|Index: to shake|Index: to tremble|#item-766d33762,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/931,2307,2785,350/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582137433005,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/931,2307,600,180/250,/0/default.jpg",873. To Tremble,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1105/'>Paper</a>|<a href='/digital-beehive/num4/num_1106/'>Chamber</a>|<a href='/digital-beehive/num4/num_1107/'>Self-Concern</a>
num_1105,Volume 2,172,,873,Paper,851-875,,,,,<a href='/digital-beehive/index4/index_2849/'>paper</a>|<a href='/digital-beehive/index4/index_3743/'>slate</a>,#item-8b4810482,,Entry: 873|Topic: Paper|Index: paper|Index: slate|#item-8b4810482,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/887,2529,2884,412/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1582137493359,,"https://stacks.stanford.edu/image/iiif/fm855tg5659/1607_0639/887,2529,600,180/250,/0/default.jpg",873. Paper,<a href='/digital-beehive/toc/toc2_162/'>Full Page</a>,,<a href='/digital-beehive/num4/num_1104/'>To Tremble</a>|<a href='/digital-beehive/num4/num_1106/'>Chamber</a>|<a href='/digital-beehive/num4/num_1107/'>Self-Concern</a>
