pid,volume,image_number,head,entry,topic,first_letter,xref,see,page,add,type,index,item,unparsed,line,selection,full_image,annotation_uri,order,thumbnail,full,label
alpha_0942,Volume 2,58,,Thouing,Thouing,T,<a href='/New_Beehive/toc_vol2/toc2_080/'>217 [Thouing]</a>,,,,,<a href='/New_Beehive/index5/index_4129/'>thouing</a>,#item-1f5904f4,,Entry: Thouing|Topic: Thouing|Xref: 217 [Thouing]|Index: thouing|#item-1f5904f4,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/771,3041,2986,549/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113643685,942,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/771,3041,2986,549/full/0/default.jpg",Thouing
alpha_0943,Volume 2,58,,Thought,Thought,T,<a href='/New_Beehive/alpha3/alpha_0456/'>Imagination</a>|<a href='/New_Beehive/alpha3/alpha_0579/'>meditation</a>|<a href='/New_Beehive/toc_vol2/toc2_182/'>982 [Thoughts]</a>,,,,,<a href='/New_Beehive/index5/index_4127/'>thoughts</a>,#item-de3bd0f07,,Entry: Thought|Topic: Thought|Xref: Imagination|Xref: meditation|Xref: 982 [Thoughts]|Index: thoughts|#item-de3bd0f07,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/770,3445,2998,688/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113686572,943,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/770,3445,2998,688/full/0/default.jpg",Thought
alpha_0944,Volume 2,58,,Thrush,Thrush,T,,,,,,<a href='/New_Beehive/index5/index_4140/'>thrush</a>,#item-809c9d4c9,,Entry: Thrush|Topic: Thrush|Index: thrush|#item-809c9d4c9,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/792,4010,3002,163/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529517908301,944,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/792,4010,3002,163/full/0/default.jpg",Thrush
alpha_0945,Volume 2,58,,to Thrust,to Thrust,T,,,,,,<a href='/New_Beehive/index5/index_4141/'>to thrust</a>,#item-35d1e23a3,,Entry: to Thrust|Topic: to Thrust|Index: to thrust|#item-35d1e23a3,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/846,4128,2151,121/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529518057514,945,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/846,4128,2151,121/full/0/default.jpg",to Thrust
alpha_0946,Volume 2,58,,Thunder,Thunder,T,<a href='/New_Beehive/toc_vol2/toc2_263/'>1346 [Thunder & Lightning]</a>,,,,,<a href='/New_Beehive/index5/index_4144/'>thunder</a>,#item-40bb469ee,,Entry: Thunder|Topic: Thunder|Xref: 1346 [Thunder & Lightning]|Index: thunder|#item-40bb469ee,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/832,4221,2942,382/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529518283829,946,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/832,4221,2942,382/full/0/default.jpg",Thunder
alpha_0947,Volume 2,58,,Time,Time,T,818 [PAGE_MISSING],,,,,<a href='/New_Beehive/index5/index_4155/'>time</a>,#item-21d76679c,,Entry: Time|Topic: Time|Xref: 818 [PAGE_MISSING]|Index: time|#item-21d76679c,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/814,4469,2950,611/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113769558,947,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0525/814,4469,2950,611/full/0/default.jpg",Time
alpha_0948,Volume 2,59,,Tithes,Tithes,T,<a href='/New_Beehive/toc_vol2/toc2_129/'>554 [Tithes]</a>,,,,,<a href='/New_Beehive/index5/index_4161/'>tithes</a>,#item-a3075b99e,,Entry: Tithes|Topic: Tithes|Xref: 554 [Tithes]|Index: tithes|#item-a3075b99e,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/309,354,3047,510/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565113969601,948,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/309,354,3047,510/full/0/default.jpg",Tithes
alpha_0949,Volume 2,59,,Titles,Titles,T,<a href='/New_Beehive/toc_vol2/toc2_280/'>1435 [Titles of honour]</a>,,,,,<a href='/New_Beehive/index5/index_4163/'>titles</a>,#item-f31b1a7fb,,Entry: Titles|Topic: Titles|Xref: 1435 [Titles of honour]|Index: titles|#item-f31b1a7fb,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/272,779,3128,450/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565114010955,949,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/272,779,3128,450/full/0/default.jpg",Titles
alpha_0950,Volume 2,59,,Tobacco,Tobacco,T,<a href='/New_Beehive/toc_vol2/toc2_174/'>935 [Tobacco]</a>,,,,,<a href='/New_Beehive/index5/index_4166/'>tobacco</a>,#item-708941700,,Entry: Tobacco|Topic: Tobacco|Xref: 935 [Tobacco]|Index: tobacco|#item-708941700,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/316,1163,3057,522/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565114049056,950,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/316,1163,3057,522/full/0/default.jpg",Tobacco
alpha_0951,Volume 2,59,,Tongue,Tongue,T,<a href='/New_Beehive/alpha4/alpha_0892/'>Speech</a>|<a href='/New_Beehive/alpha3/alpha_0507/'>language</a>|babling|<a href='/New_Beehive/toc_vol2/toc2_231/'>1186 [Tongue]</a>,,,,,<a href='/New_Beehive/index5/index_4174/'>tongue</a>,#item-89b60c12d,,Entry: Tongue|Topic: Tongue|Xref: Speech|Xref: language|Xref: babling|Xref: 1186 [Tongue]|Index: tongue|#item-89b60c12d,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/319,1597,3033,535/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565114082772,951,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/319,1597,3033,535/full/0/default.jpg",Tongue
alpha_0952,Volume 2,59,,Too hasty,Too hasty,T,<a href='/New_Beehive/alpha2/alpha_0398/'>Haste</a>|[WORD_ILLEGIBLE]|<a href='/New_Beehive/toc_vol2/toc2_179/'>961 [Too hasty]</a>,,,,,<a href='/New_Beehive/index5/index_4177/'>too hasty</a>,#item-333aac4a6,,Entry: Too hasty|Topic: Too hasty|Xref: Haste|Xref: [WORD_ILLEGIBLE]|Xref: 961 [Too hasty]|Index: too hasty|#item-333aac4a6,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/335,2078,2997,442/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529520137941,952,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/335,2078,2997,442/full/0/default.jpg",Too hasty
alpha_0953,Volume 2,59,,Too little,Too little,T,<a href='/New_Beehive/alpha3/alpha_0539/'>littleness</a>,,,,,<a href='/New_Beehive/index5/index_4180/'>too little</a>,#item-0d3530d71,,Entry: Too little|Topic: Too little|Xref: littleness|Index: too little|#item-0d3530d71,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/327,2481,3057,250/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529520277591,953,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/327,2481,3057,250/full/0/default.jpg",Too little
alpha_0954,Volume 2,59,,too suspicious,too suspicious,T,,,,,,<a href='/New_Beehive/index5/index_4186/'>too suspicious</a>,#item-373d34fe6,,Entry: too suspicious|Topic: too suspicious|Index: too suspicious|#item-373d34fe6,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/331,2795,2927,134/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529521172451,954,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/331,2795,2927,134/full/0/default.jpg",too suspicious
alpha_0955,Volume 2,59,,Too much,Too much,T,<a href='/New_Beehive/alpha1/alpha_0003/'>abundance</a>|<a href='/New_Beehive/alpha4/alpha_0920/'>Superfluity</a>|815 [PAGE_MISSING],,,,,<a href='/New_Beehive/index5/index_4182/'>too much</a>,#item-5b4f65a9f,,Entry: Too much|Topic: Too much|Xref: abundance|Xref: Superfluity|Xref: 815 [PAGE_MISSING]|Index: too much|#item-5b4f65a9f,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/344,2948,3001,585/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529521320309,955,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/344,2948,3001,585/full/0/default.jpg",Too much
alpha_0956,Volume 2,59,,Too slow or quick,Too slow or quick,T,<a href='/New_Beehive/alpha4/alpha_0879/'>Slowness</a>|too late|<a href='/New_Beehive/toc_vol2/toc2_059/'>20 [Too late]</a>,,,,,<a href='/New_Beehive/index5/index_4184/'>too slow or quick</a>,#item-5bc71e62e,,Entry: Too slow or quick|Topic: Too slow or quick|Xref: Slowness|Xref: too late|Xref: 20 [Too late]|Index: too slow or quick|#item-5bc71e62e,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/352,3477,3009,201/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529521675271,956,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/352,3477,3009,201/full/0/default.jpg",Too slow or quick
alpha_0957,Volume 2,59,,too young,too young,T,,,,,,<a href='/New_Beehive/index5/index_4188/'>too young</a>,#item-f53bf4603,,Entry: too young|Topic: too young|Index: too young|#item-f53bf4603,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/355,3697,1058,106/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529521936172,957,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/355,3697,1058,106/full/0/default.jpg",too young
alpha_0958,Volume 2,59,,Too soon,Too soon,T,Hast,,,,,Too soon,#item-f03e16ad5,,Entry: Too soon|Topic: Too soon|Xref: Hast|Index: Too soon|#item-f03e16ad5,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/318,3841,3028,429/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1565114348085,958,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/318,3841,3028,429/full/0/default.jpg",Too soon
alpha_0959,Volume 2,59,,Tooth,Tooth,T,<a href='/New_Beehive/toc_vol2/toc2_251/'>1286 [Tooth]</a>,,,,,<a href='/New_Beehive/index5/index_4190/'>tooth</a>,#item-b808f22e1,,Entry: Tooth|Topic: Tooth|Xref: 1286 [Tooth]|Index: tooth|#item-b808f22e1,"https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/371,4253,2978,322/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1529522666858,959,"https://stacks.stanford.edu/image/iiif/ps974xt6740%2F1607_0455/full/100,/0/default.jpg","https://stacks.stanford.edu/image/iiif/fm855tg5659%2F1607_0526/371,4253,2978,322/full/0/default.jpg",Tooth
